YEAR|RACE|SEX|SITE|EVENT_TYPE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|POPULATION|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
2007|All Races|Female|Acute Myeloid|Mortality|2.1|2.2|2.2|3727|153166353|2.4|2.5|2.4
2008|All Races|Female|Acute Myeloid|Incidence|3.0|3.2|3.1|5241|151961343|3.4|3.5|3.4
2008|All Races|Female|Acute Myeloid|Mortality|2.2|2.3|2.2|3965|154604015|2.5|2.6|2.6
2009|All Races|Female|Acute Myeloid|Incidence|3.0|3.1|3.1|5252|153304117|3.3|3.5|3.4
2009|All Races|Female|Acute Myeloid|Mortality|2.1|2.3|2.2|3972|155964075|2.5|2.6|2.5
2010|All Races|Female|Acute Myeloid|Incidence|3.2|3.3|3.3|5604|153071919|3.6|3.8|3.7
2010|All Races|Female|Acute Myeloid|Mortality|2.1|2.2|2.2|3959|157233878|2.4|2.6|2.5
1999|All Races|Female|All Cancer Sites Combined|Incidence|424.8|427.0|425.9|560197|122799298|455.0|457.4|456.2
1999|All Races|Female|All Cancer Sites Combined|Mortality|166.6|167.9|167.2|264003|142237295|184.9|186.3|185.6
2000|All Races|Female|All Cancer Sites Combined|Incidence|423.0|425.2|424.1|580589|127339224|454.8|457.1|455.9
2000|All Races|Female|All Cancer Sites Combined|Mortality|166.1|167.3|166.7|267008|143719004|185.1|186.5|185.8
2001|All Races|Female|All Cancer Sites Combined|Incidence|428.0|430.2|429.1|620230|133852494|462.2|464.5|463.4
2001|All Races|Female|All Cancer Sites Combined|Mortality|164.0|165.2|164.6|266692|145077463|183.1|184.5|183.8
2002|All Races|Female|All Cancer Sites Combined|Incidence|424.9|427.0|426.0|619630|134016064|461.2|463.5|462.4
2002|All Races|Female|All Cancer Sites Combined|Mortality|162.8|164.0|163.4|268501|146394634|182.7|184.1|183.4
2003|All Races|Female|All Cancer Sites Combined|Incidence|417.6|419.6|418.6|632817|138373274|456.2|458.5|457.3
2003|All Races|Female|All Cancer Sites Combined|Mortality|160.6|161.8|161.2|268908|147679036|181.4|182.8|182.1
2004|All Races|Female|All Cancer Sites Combined|Incidence|417.2|419.3|418.2|655370|142598939|458.5|460.7|459.6
2004|All Races|Female|All Cancer Sites Combined|Mortality|157.3|158.5|157.9|267056|148977286|178.6|179.9|179.3
2005|All Races|Female|All Cancer Sites Combined|Incidence|419.1|421.1|420.1|668717|143876329|463.7|465.9|464.8
2005|All Races|Female|All Cancer Sites Combined|Mortality|155.9|157.1|156.5|268886|150319521|178.2|179.6|178.9
2006|All Races|Female|All Cancer Sites Combined|Incidence|419.2|421.2|420.2|678861|145223221|466.3|468.6|467.5
2006|All Races|Female|All Cancer Sites Combined|Mortality|154.0|155.2|154.6|269816|151732647|177.2|178.5|177.8
2006-2010|All Races|Female|All Cancer Sites Combined|Incidence|418.1|419.0|418.6|3461116|732214721|472.2|473.2|472.7
2006-2010|All Races|Female|All Cancer Sites Combined|Mortality|149.4|149.9|149.7|1354599|772700968|175.0|175.6|175.3
2007|All Races|Female|All Cancer Sites Combined|Incidence|419.9|421.9|420.9|709492|150543802|470.2|472.4|471.3
2007|All Races|Female|All Cancer Sites Combined|Mortality|151.4|152.6|152.0|270014|153166353|175.6|177.0|176.3
2008|All Races|Female|All Cancer Sites Combined|Incidence|421.5|423.5|422.5|724692|151961343|475.8|478.0|476.9
2008|All Races|Female|All Cancer Sites Combined|Mortality|148.7|149.8|149.3|270207|154604015|174.1|175.4|174.8
2009|All Races|Female|All Cancer Sites Combined|Incidence|420.0|422.0|421.0|733816|153304117|477.6|479.8|478.7
2009|All Races|Female|All Cancer Sites Combined|Mortality|146.6|147.7|147.1|270856|155964075|173.0|174.3|173.7
2010|All Races|Female|All Cancer Sites Combined|Incidence|404.2|406.1|405.1|711113|153071919|463.5|465.6|464.6
2010|All Races|Female|All Cancer Sites Combined|Mortality|145.2|146.3|145.7|273706|157233878|173.4|174.7|174.1
1999|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|424.6|426.9|425.7|559956|122799298|454.8|457.2|456.0
2000|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|422.7|424.9|423.8|580186|127339224|454.5|456.8|455.6
2001|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|422.9|425.1|424.0|612614|133852494|456.5|458.8|457.7
2002|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|419.5|421.7|420.6|611562|134016064|455.2|457.5|456.3
2003|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|412.0|414.0|413.0|624069|138373274|449.9|452.1|451.0
2004|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|411.4|413.4|412.4|645917|142598939|451.9|454.1|453.0
2005|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|413.1|415.1|414.1|658785|143876329|456.8|459.0|457.9
2006|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|413.1|415.1|414.1|668727|145223221|459.4|461.6|460.5
2006-2010|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|412.0|412.9|412.4|3408898|732214721|465.1|466.1|465.6
2007|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|413.6|415.5|414.6|698477|150543802|462.9|465.1|464.0
2008|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|415.3|417.2|416.3|713734|151961343|468.6|470.8|469.7
2009|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|414.1|416.0|415.0|723099|153304117|470.6|472.8|471.7
2010|All Races|Female|All Sites (comparable to ICD-O-2)|Incidence|398.5|400.4|399.5|700973|153071919|456.9|459.0|457.9
1999|All Races|Female|Anus, Anal Canal and Anorectum|Incidence|1.5|1.6|1.5|1999|122799298|1.6|1.7|1.6
1999|All Races|Female|Anus, Anal Canal and Anorectum|Mortality|0.2|0.2|0.2|294|142237295|0.2|0.2|0.2
2000|All Races|Female|Anus, Anal Canal and Anorectum|Incidence|1.5|1.6|1.5|2086|127339224|1.6|1.7|1.6
2000|All Races|Female|Anus, Anal Canal and Anorectum|Mortality|0.2|0.2|0.2|298|143719004|0.2|0.2|0.2
2001|All Races|Female|Anus, Anal Canal and Anorectum|Incidence|1.5|1.6|1.6|2239|133852494|1.6|1.7|1.7
2001|All Races|Female|Anus, Anal Canal and Anorectum|Mortality|0.2|0.2|0.2|326|145077463|0.2|0.3|0.2
2002|All Races|Female|Anus, Anal Canal and Anorectum|Incidence|1.5|1.7|1.6|2301|134016064|1.6|1.8|1.7
2002|All Races|Female|Anus, Anal Canal and Anorectum|Mortality|0.2|0.2|0.2|326|146394634|0.2|0.2|0.2
2003|All Races|Female|Anus, Anal Canal and Anorectum|Incidence|1.6|1.8|1.7|2567|138373274|1.8|1.9|1.9
2003|All Races|Female|Anus, Anal Canal and Anorectum|Mortality|0.2|0.2|0.2|369|147679036|0.2|0.3|0.2
2004|All Races|Female|Anus, Anal Canal and Anorectum|Incidence|1.7|1.8|1.8|2780|142598939|1.9|2.0|1.9
2004|All Races|Female|Anus, Anal Canal and Anorectum|Mortality|0.2|0.2|0.2|349|148977286|0.2|0.3|0.2
2005|All Races|Female|Anus, Anal Canal and Anorectum|Incidence|1.7|1.9|1.8|2849|143876329|1.9|2.1|2.0
2005|All Races|Female|Anus, Anal Canal and Anorectum|Mortality|0.2|0.2|0.2|369|150319521|0.2|0.3|0.2
2006|All Races|Female|Anus, Anal Canal and Anorectum|Incidence|1.7|1.9|1.8|2937|145223221|1.9|2.1|2.0
2006|All Races|Female|Anus, Anal Canal and Anorectum|Mortality|0.2|0.2|0.2|387|151732647|0.2|0.3|0.3
2006-2010|All Races|Female|Anus, Anal Canal and Anorectum|Incidence|1.9|2.0|2.0|16423|732214721|2.2|2.3|2.2
2006-2010|All Races|Female|Anus, Anal Canal and Anorectum|Mortality|0.2|0.3|0.2|2214|772700968|0.3|0.3|0.3
2007|All Races|Female|Anus, Anal Canal and Anorectum|Incidence|1.9|2.0|1.9|3277|150543802|2.1|2.3|2.2
2007|All Races|Female|Anus, Anal Canal and Anorectum|Mortality|0.2|0.2|0.2|389|153166353|0.2|0.3|0.3
2008|All Races|Female|Anus, Anal Canal and Anorectum|Incidence|1.9|2.0|2.0|3411|151961343|2.2|2.3|2.2
2008|All Races|Female|Anus, Anal Canal and Anorectum|Mortality|0.2|0.3|0.2|444|154604015|0.3|0.3|0.3
2009|All Races|Female|Anus, Anal Canal and Anorectum|Incidence|2.0|2.2|2.1|3705|153304117|2.3|2.5|2.4
2009|All Races|Female|Anus, Anal Canal and Anorectum|Mortality|0.3|0.3|0.3|516|155964075|0.3|0.4|0.3
2010|All Races|Female|Anus, Anal Canal and Anorectum|Incidence|1.9|2.1|2.0|3558|153071919|2.2|2.4|2.3
2010|All Races|Female|Anus, Anal Canal and Anorectum|Mortality|0.2|0.3|0.3|478|157233878|0.3|0.3|0.3
1999|All Races|Female|Bones and Joints|Incidence|0.8|0.9|0.8|1036|122799298|0.8|0.9|0.8
1999|All Races|Female|Bones and Joints|Mortality|0.3|0.4|0.4|557|142237295|0.4|0.4|0.4
2000|All Races|Female|Bones and Joints|Incidence|0.8|0.9|0.8|1090|127339224|0.8|0.9|0.9
2000|All Races|Female|Bones and Joints|Mortality|0.3|0.4|0.3|530|143719004|0.3|0.4|0.4
2001|All Races|Female|Bones and Joints|Incidence|0.8|0.9|0.9|1190|133852494|0.8|0.9|0.9
2001|All Races|Female|Bones and Joints|Mortality|0.3|0.4|0.4|581|145077463|0.4|0.4|0.4
2002|All Races|Female|Bones and Joints|Incidence|0.8|0.9|0.8|1162|134016064|0.8|0.9|0.9
2002|All Races|Female|Bones and Joints|Mortality|0.3|0.4|0.3|530|146394634|0.3|0.4|0.4
2003|All Races|Female|Bones and Joints|Incidence|0.8|0.9|0.8|1164|138373274|0.8|0.9|0.8
2003|All Races|Female|Bones and Joints|Mortality|0.3|0.4|0.3|539|147679036|0.3|0.4|0.4
2004|All Races|Female|Bones and Joints|Incidence|0.8|0.9|0.9|1262|142598939|0.8|0.9|0.9
2004|All Races|Female|Bones and Joints|Mortality|0.3|0.4|0.4|586|148977286|0.4|0.4|0.4
2005|All Races|Female|Bones and Joints|Incidence|0.8|0.9|0.9|1265|143876329|0.8|0.9|0.9
2005|All Races|Female|Bones and Joints|Mortality|0.3|0.4|0.4|607|150319521|0.4|0.4|0.4
2006|All Races|Female|Bones and Joints|Incidence|0.8|0.9|0.8|1214|145223221|0.8|0.9|0.8
2006|All Races|Female|Bones and Joints|Mortality|0.3|0.4|0.4|601|151732647|0.4|0.4|0.4
2006-2010|All Races|Female|Bones and Joints|Incidence|0.8|0.8|0.8|6131|732214721|0.8|0.9|0.8
2006-2010|All Races|Female|Bones and Joints|Mortality|0.3|0.4|0.3|2963|772700968|0.4|0.4|0.4
2007|All Races|Female|Bones and Joints|Incidence|0.8|0.9|0.8|1267|150543802|0.8|0.9|0.8
2007|All Races|Female|Bones and Joints|Mortality|0.3|0.4|0.3|580|153166353|0.3|0.4|0.4
2008|All Races|Female|Bones and Joints|Incidence|0.8|0.9|0.8|1280|151961343|0.8|0.9|0.8
2008|All Races|Female|Bones and Joints|Mortality|0.3|0.4|0.4|603|154604015|0.4|0.4|0.4
2009|All Races|Female|Bones and Joints|Incidence|0.8|0.9|0.8|1282|153304117|0.8|0.9|0.8
2009|All Races|Female|Bones and Joints|Mortality|0.3|0.4|0.4|604|155964075|0.4|0.4|0.4
2010|All Races|Female|Bones and Joints|Incidence|0.7|0.8|0.8|1242|153071919|0.8|0.9|0.8
2010|All Races|Female|Bones and Joints|Mortality|0.3|0.4|0.3|575|157233878|0.3|0.4|0.4
1999|All Races|Female|Brain|Incidence|5.3|5.6|5.4|6989|122799298|5.6|5.8|5.7
2000|All Races|Female|Brain|Incidence|5.3|5.5|5.4|7197|127339224|5.5|5.8|5.7
2001|All Races|Female|Brain|Incidence|5.1|5.3|5.2|7312|133852494|5.3|5.6|5.5
2002|All Races|Female|Brain|Incidence|5.2|5.4|5.3|7449|134016064|5.4|5.7|5.6
2003|All Races|Female|Brain|Incidence|5.2|5.4|5.3|7714|138373274|5.5|5.7|5.6
2004|All Races|Female|Brain|Incidence|5.3|5.5|5.4|8139|142598939|5.6|5.8|5.7
2005|All Races|Female|Brain|Incidence|5.2|5.5|5.3|8180|143876329|5.6|5.8|5.7
2006|All Races|Female|Brain|Incidence|5.2|5.5|5.3|8280|145223221|5.6|5.8|5.7
2006-2010|All Races|Female|Brain|Incidence|5.2|5.3|5.2|41557|732214721|5.6|5.7|5.7
2007|All Races|Female|Brain|Incidence|5.3|5.5|5.4|8672|150543802|5.6|5.9|5.8
2008|All Races|Female|Brain|Incidence|5.2|5.4|5.3|8660|151961343|5.6|5.8|5.7
2009|All Races|Female|Brain|Incidence|5.1|5.3|5.2|8751|153304117|5.6|5.8|5.7
2010|All Races|Female|Brain|Incidence|4.9|5.1|5.0|8428|153071919|5.4|5.6|5.5
1999|All Races|Female|Brain and Other Nervous System|Incidence|5.8|6.0|5.9|7571|122799298|6.0|6.3|6.2
1999|All Races|Female|Brain and Other Nervous System|Mortality|3.7|3.9|3.8|5764|142237295|3.9|4.2|4.1
2000|All Races|Female|Brain and Other Nervous System|Incidence|5.7|6.0|5.9|7814|127339224|6.0|6.3|6.1
2000|All Races|Female|Brain and Other Nervous System|Mortality|3.6|3.8|3.7|5644|143719004|3.8|4.0|3.9
2001|All Races|Female|Brain and Other Nervous System|Incidence|5.6|5.8|5.7|7985|133852494|5.8|6.1|6.0
2001|All Races|Female|Brain and Other Nervous System|Mortality|3.5|3.7|3.6|5594|145077463|3.8|4.0|3.9
2002|All Races|Female|Brain and Other Nervous System|Incidence|5.6|5.9|5.8|8103|134016064|5.9|6.2|6.0
2002|All Races|Female|Brain and Other Nervous System|Mortality|3.5|3.7|3.6|5705|146394634|3.8|4.0|3.9
2003|All Races|Female|Brain and Other Nervous System|Incidence|5.7|6.0|5.8|8480|138373274|6.0|6.3|6.1
2003|All Races|Female|Brain and Other Nervous System|Mortality|3.5|3.7|3.6|5779|147679036|3.8|4.0|3.9
2004|All Races|Female|Brain and Other Nervous System|Incidence|5.8|6.0|5.9|8910|142598939|6.1|6.4|6.2
2004|All Races|Female|Brain and Other Nervous System|Mortality|3.4|3.6|3.5|5755|148977286|3.8|4.0|3.9
2005|All Races|Female|Brain and Other Nervous System|Incidence|5.7|6.0|5.9|8959|143876329|6.1|6.4|6.2
2005|All Races|Female|Brain and Other Nervous System|Mortality|3.4|3.6|3.5|5835|150319521|3.8|4.0|3.9
2006|All Races|Female|Brain and Other Nervous System|Incidence|5.7|5.9|5.8|8966|145223221|6.0|6.3|6.2
2006|All Races|Female|Brain and Other Nervous System|Mortality|3.3|3.5|3.4|5688|151732647|3.7|3.8|3.7
2006-2010|All Races|Female|Brain and Other Nervous System|Incidence|5.7|5.8|5.7|45033|732214721|6.1|6.2|6.2
2006-2010|All Races|Female|Brain and Other Nervous System|Mortality|3.4|3.5|3.5|30150|772700968|3.9|3.9|3.9
2007|All Races|Female|Brain and Other Nervous System|Incidence|5.7|6.0|5.8|9396|150543802|6.1|6.4|6.2
2007|All Races|Female|Brain and Other Nervous System|Mortality|3.4|3.6|3.5|5919|153166353|3.8|4.0|3.9
2008|All Races|Female|Brain and Other Nervous System|Incidence|5.6|5.9|5.7|9400|151961343|6.1|6.3|6.2
2008|All Races|Female|Brain and Other Nervous System|Mortality|3.4|3.6|3.5|6038|154604015|3.8|4.0|3.9
2009|All Races|Female|Brain and Other Nervous System|Incidence|5.6|5.8|5.7|9486|153304117|6.1|6.3|6.2
2009|All Races|Female|Brain and Other Nervous System|Mortality|3.5|3.7|3.6|6318|155964075|4.0|4.2|4.1
2010|All Races|Female|Brain and Other Nervous System|Incidence|5.3|5.5|5.4|9090|153071919|5.8|6.1|5.9
2010|All Races|Female|Brain and Other Nervous System|Mortality|3.3|3.5|3.4|6187|157233878|3.8|4.0|3.9
1999|All Races|Female|Cervix|Incidence|9.6|10.0|9.8|12205|122799298|9.8|10.1|9.9
1999|All Races|Female|Cervix|Mortality|2.7|2.9|2.8|4204|142237295|2.9|3.0|3.0
2000|All Races|Female|Cervix|Incidence|9.5|9.9|9.7|12580|127339224|9.7|10.1|9.9
2000|All Races|Female|Cervix|Mortality|2.7|2.9|2.8|4200|143719004|2.8|3.0|2.9
2001|All Races|Female|Cervix|Incidence|9.0|9.3|9.1|12484|133852494|9.2|9.5|9.3
2001|All Races|Female|Cervix|Mortality|2.6|2.8|2.7|4092|145077463|2.7|2.9|2.8
2002|All Races|Female|Cervix|Incidence|8.6|8.9|8.8|12016|134016064|8.8|9.1|9.0
2002|All Races|Female|Cervix|Mortality|2.5|2.6|2.6|3952|146394634|2.6|2.8|2.7
2003|All Races|Female|Cervix|Incidence|8.3|8.6|8.5|11977|138373274|8.5|8.8|8.7
2003|All Races|Female|Cervix|Mortality|2.4|2.6|2.5|3919|147679036|2.6|2.7|2.7
2004|All Races|Female|Cervix|Incidence|8.1|8.4|8.2|12026|142598939|8.3|8.6|8.4
2004|All Races|Female|Cervix|Mortality|2.3|2.5|2.4|3850|148977286|2.5|2.7|2.6
2005|All Races|Female|Cervix|Incidence|8.2|8.5|8.3|12282|143876329|8.4|8.7|8.5
2005|All Races|Female|Cervix|Mortality|2.3|2.5|2.4|3924|150319521|2.5|2.7|2.6
2006|All Races|Female|Cervix|Incidence|8.1|8.3|8.2|12209|145223221|8.3|8.6|8.4
2006|All Races|Female|Cervix|Mortality|2.3|2.5|2.4|3976|151732647|2.5|2.7|2.6
2006-2010|All Races|Female|Cervix|Incidence|7.9|8.0|8.0|59885|732214721|8.1|8.2|8.2
2006-2010|All Races|Female|Cervix|Mortality|2.3|2.4|2.4|19853|772700968|2.5|2.6|2.6
2007|All Races|Female|Cervix|Incidence|7.9|8.2|8.1|12476|150543802|8.1|8.4|8.3
2007|All Races|Female|Cervix|Mortality|2.3|2.5|2.4|4021|153166353|2.5|2.7|2.6
2008|All Races|Female|Cervix|Incidence|7.8|8.1|8.0|12459|151961343|8.1|8.3|8.2
2008|All Races|Female|Cervix|Mortality|2.3|2.4|2.4|4008|154604015|2.5|2.7|2.6
2009|All Races|Female|Cervix|Incidence|7.8|8.1|8.0|12554|153304117|8.0|8.3|8.2
2009|All Races|Female|Cervix|Mortality|2.2|2.4|2.3|3909|155964075|2.4|2.6|2.5
2010|All Races|Female|Cervix|Incidence|7.4|7.6|7.5|11818|153071919|7.6|7.9|7.7
2010|All Races|Female|Cervix|Mortality|2.2|2.3|2.3|3939|157233878|2.4|2.6|2.5
1999|All Races|Female|Chronic Lymphocytic|Incidence|2.9|3.1|3.0|4079|122799298|3.2|3.4|3.3
1999|All Races|Female|Chronic Lymphocytic|Mortality|1.1|1.2|1.1|1917|142237295|1.3|1.4|1.3
2000|All Races|Female|Chronic Lymphocytic|Incidence|3.1|3.2|3.2|4509|127339224|3.4|3.6|3.5
2000|All Races|Female|Chronic Lymphocytic|Mortality|1.0|1.1|1.1|1873|143719004|1.2|1.4|1.3
2001|All Races|Female|Chronic Lymphocytic|Incidence|3.1|3.3|3.2|4875|133852494|3.5|3.7|3.6
2001|All Races|Female|Chronic Lymphocytic|Mortality|1.0|1.1|1.1|1867|145077463|1.2|1.3|1.3
2002|All Races|Female|Chronic Lymphocytic|Incidence|3.1|3.3|3.2|4882|134016064|3.5|3.7|3.6
2002|All Races|Female|Chronic Lymphocytic|Mortality|1.0|1.1|1.1|1888|146394634|1.2|1.3|1.3
2003|All Races|Female|Chronic Lymphocytic|Incidence|3.2|3.4|3.3|5214|138373274|3.7|3.9|3.8
2003|All Races|Female|Chronic Lymphocytic|Mortality|1.0|1.1|1.1|1871|147679036|1.2|1.3|1.3
2004|All Races|Female|Chronic Lymphocytic|Incidence|3.2|3.4|3.3|5417|142598939|3.7|3.9|3.8
2004|All Races|Female|Chronic Lymphocytic|Mortality|1.0|1.0|1.0|1793|148977286|1.1|1.3|1.2
2005|All Races|Female|Chronic Lymphocytic|Incidence|3.2|3.4|3.3|5418|143876329|3.7|3.9|3.8
2005|All Races|Female|Chronic Lymphocytic|Mortality|0.9|1.0|1.0|1768|150319521|1.1|1.2|1.2
2006|All Races|Female|Chronic Lymphocytic|Incidence|3.2|3.4|3.3|5554|145223221|3.7|3.9|3.8
2006|All Races|Female|Chronic Lymphocytic|Mortality|0.9|1.0|1.0|1839|151732647|1.2|1.3|1.2
2006-2010|All Races|Female|Chronic Lymphocytic|Incidence|3.0|3.1|3.0|26140|732214721|3.5|3.6|3.6
2006-2010|All Races|Female|Chronic Lymphocytic|Mortality|0.9|1.0|0.9|9052|772700968|1.1|1.2|1.2
2007|All Races|Female|Chronic Lymphocytic|Incidence|3.0|3.1|3.0|5362|150543802|3.5|3.7|3.6
2007|All Races|Female|Chronic Lymphocytic|Mortality|0.9|1.0|1.0|1812|153166353|1.1|1.2|1.2
2008|All Races|Female|Chronic Lymphocytic|Incidence|2.9|3.1|3.0|5391|151961343|3.5|3.6|3.5
2008|All Races|Female|Chronic Lymphocytic|Mortality|0.9|1.0|0.9|1772|154604015|1.1|1.2|1.1
2009|All Races|Female|Chronic Lymphocytic|Incidence|2.8|3.0|2.9|5297|153304117|3.4|3.5|3.5
2009|All Races|Female|Chronic Lymphocytic|Mortality|0.9|1.0|0.9|1845|155964075|1.1|1.2|1.2
2010|All Races|Female|Chronic Lymphocytic|Incidence|2.7|2.8|2.8|5093|153071919|3.2|3.4|3.3
2010|All Races|Female|Chronic Lymphocytic|Mortality|0.8|0.9|0.9|1784|157233878|1.1|1.2|1.1
1999|All Races|Female|Chronic Myeloid|Incidence|1.2|1.3|1.3|1675|122799298|1.3|1.4|1.4
1999|All Races|Female|Chronic Myeloid|Mortality|0.5|0.6|0.5|807|142237295|0.5|0.6|0.6
2000|All Races|Female|Chronic Myeloid|Incidence|1.2|1.3|1.3|1751|127339224|1.3|1.4|1.4
2000|All Races|Female|Chronic Myeloid|Mortality|0.5|0.5|0.5|766|143719004|0.5|0.6|0.5
2001|All Races|Female|Chronic Myeloid|Incidence|1.2|1.3|1.3|1876|133852494|1.3|1.5|1.4
2001|All Races|Female|Chronic Myeloid|Mortality|0.4|0.5|0.5|749|145077463|0.5|0.6|0.5
2002|All Races|Female|Chronic Myeloid|Incidence|1.1|1.2|1.2|1742|134016064|1.2|1.4|1.3
