AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|AGE|RACE|SEX|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
~|~|~|~|IX(c) Kaposi sarcoma|51965300|0-14|All Races|Male and Female|1999|||
2.2|3.1|2.6|136|IX(d) Other specified soft tissue sarcomas|51965300|0-14|All Races|Male and Female|1999|||
0.7|1.2|0.9|49|IX(e) Unspecified soft tissue sarcomas|51965300|0-14|All Races|Male and Female|1999|||
0.2|0.5|0.3|16|Not classified by ICCC|51965300|0-14|All Races|Male and Female|1999|||
3.8|5.0|4.4|224|V Retinoblastoma|51965300|0-14|All Races|Male and Female|1999|||
7.3|8.8|8.0|415|VI Renal tumors|51965300|0-14|All Races|Male and Female|1999|||
6.8|8.3|7.5|389|VI(a) Nephroblastoma and other nonepithelial renal tumors|51965300|0-14|All Races|Male and Female|1999|||
0.3|0.7|0.4|23|VI(b) Renal carcinomas|51965300|0-14|All Races|Male and Female|1999|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|51965300|0-14|All Races|Male and Female|1999|||
1.7|2.5|2.1|107|VII Hepatic tumors|51965300|0-14|All Races|Male and Female|1999|||
1.3|2.1|1.7|86|VII(a) Hepatoblastoma|51965300|0-14|All Races|Male and Female|1999|||
0.3|0.6|0.4|21|VII(b) Hepatic carcinomas|51965300|0-14|All Races|Male and Female|1999|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|51965300|0-14|All Races|Male and Female|1999|||
6.6|8.0|7.3|377|VIII Malignant bone tumors|51965300|0-14|All Races|Male and Female|1999|||
3.6|4.8|4.2|216|VIII(a) Osteosarcomas|51965300|0-14|All Races|Male and Female|1999|||
~|~|~|~|VIII(b) Chondrosarcomas|51965300|0-14|All Races|Male and Female|1999|||
2.1|3.0|2.5|129|VIII(c) Ewing tumor and related sarcomas of bone|51965300|0-14|All Races|Male and Female|1999|||
~|~|~|~|VIII(d) Other specified malignant bone tumors|51965300|0-14|All Races|Male and Female|1999|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|51965300|0-14|All Races|Male and Female|1999|||
4.4|5.6|4.9|255|X Germ cell, trophoblastic tumors & neoplasms of gonads|51965300|0-14|All Races|Male and Female|1999|||
1.0|1.6|1.3|67|X(a) Intracranial & intraspinal germ cell tumors|51965300|0-14|All Races|Male and Female|1999|||
1.0|1.7|1.3|69|X(b) Malignant extracranial & extragonadal germ cell tumors|51965300|0-14|All Races|Male and Female|1999|||
1.7|2.5|2.1|107|X(c) Malignant gonadal germ cell tumors|51965300|0-14|All Races|Male and Female|1999|||
~|~|~|~|X(d) Gonadal carcinomas|51965300|0-14|All Races|Male and Female|1999|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|51965300|0-14|All Races|Male and Female|1999|||
5.3|6.6|5.9|307|XI Other malignant epithelial neoplasms and malignant melanomas|51965300|0-14|All Races|Male and Female|1999|||
~|~|~|~|XI(a) Adrenocortical carcinomas|51965300|0-14|All Races|Male and Female|1999|||
1.6|2.3|1.9|99|XI(b) Thyroid carcinomas|51965300|0-14|All Races|Male and Female|1999|||
0.2|0.6|0.4|19|XI(c) Nasopharyngeal carcinomas|51965300|0-14|All Races|Male and Female|1999|||
1.5|2.2|1.8|94|XI(d) Malignant melanomas|51965300|0-14|All Races|Male and Female|1999|||
~|~|~|~|XI(e) Skin carcinomas|51965300|0-14|All Races|Male and Female|1999|||
1.2|1.9|1.5|79|XI(f) Other and unspecified carcinomas|51965300|0-14|All Races|Male and Female|1999|||
0.3|0.8|0.5|27|XII Other and unspecified malignant neoplasms|51965300|0-14|All Races|Male and Female|1999|||
~|~|~|~|XII(a) Other specified malignant tumors|51965300|0-14|All Races|Male and Female|1999|||
0.2|0.5|0.3|16|XII(b) Other unspecified malignant tumors|51965300|0-14|All Races|Male and Female|1999|||
146.3|152.8|149.5|7992|All ICCC Groups Combined|53577590|0-14|All Races|Male and Female|2000|||
44.3|47.9|46.1|2459|I Leukemias, myeloproliferative & myelodysplastic diseases|53577590|0-14|All Races|Male and Female|2000|||
35.5|38.8|37.1|1979|I(a) Lymphoid leukemias|53577590|0-14|All Races|Male and Female|2000|||
6.0|7.4|6.7|356|I(b) Acute myeloid leukemias|53577590|0-14|All Races|Male and Female|2000|||
0.5|1.0|0.8|41|I(c) Chronic myeloproliferative diseases|53577590|0-14|All Races|Male and Female|2000|||
~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|53577590|0-14|All Races|Male and Female|2000|||
1.1|1.7|1.4|74|I(e) Unspecified and other specified leukemias|53577590|0-14|All Races|Male and Female|2000|||
15.4|17.5|16.4|882|II Lymphomas and reticuloendothelial neoplasms|53577590|0-14|All Races|Male and Female|2000|||
5.3|6.6|5.9|320|II(a) Hodgkin lymphomas|53577590|0-14|All Races|Male and Female|2000|||
5.3|6.6|5.9|318|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|53577590|0-14|All Races|Male and Female|2000|||
2.3|3.2|2.7|144|II(c) Burkitt lymphoma|53577590|0-14|All Races|Male and Female|2000|||
0.9|1.5|1.2|64|II(d) Miscellaneous lymphoreticular neoplasms|53577590|0-14|All Races|Male and Female|2000|||
0.5|0.9|0.7|36|II(e) Unspecified lymphomas|53577590|0-14|All Races|Male and Female|2000|||
31.3|34.4|32.9|1759|III CNS and misc intracranial and intraspinal neoplasms|53577590|0-14|All Races|Male and Female|2000|||
2.3|3.2|2.7|146|III(a) Ependymomas and choroid plexus tumor|53577590|0-14|All Races|Male and Female|2000|||
15.7|17.9|16.8|900|III(b) Astrocytomas|53577590|0-14|All Races|Male and Female|2000|||
6.9|8.4|7.6|407|III(c) Intracranial and intraspinal embryonal tumors|53577590|0-14|All Races|Male and Female|2000|||
4.0|5.2|4.6|246|III(d) Other gliomas|53577590|0-14|All Races|Male and Female|2000|||
0.3|0.7|0.4|24|III(e) Other specified intracranial & intraspinal neoplasms|53577590|0-14|All Races|Male and Female|2000|||
0.5|0.9|0.7|36|III(f) Unspecified intracranial and intraspinal neoplasms|53577590|0-14|All Races|Male and Female|2000|||
9.3|11.0|10.1|539|IV Neuroblastoma and other peripheral nervous cell tumors|53577590|0-14|All Races|Male and Female|2000|||
9.2|10.9|10.0|532|IV(a) Neuroblastoma and ganglioneuroblastoma|53577590|0-14|All Races|Male and Female|2000|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|53577590|0-14|All Races|Male and Female|2000|||
9.5|11.2|10.3|553|IX Soft tissue and other extraosseous sarcomas|53577590|0-14|All Races|Male and Female|2000|||
4.7|5.9|5.3|281|IX(a) Rhabdomyosarcomas|53577590|0-14|All Races|Male and Female|2000|||
0.7|1.2|0.9|49|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|53577590|0-14|All Races|Male and Female|2000|||
~|~|~|~|IX(c) Kaposi sarcoma|53577590|0-14|All Races|Male and Female|2000|||
2.7|3.6|3.1|167|IX(d) Other specified soft tissue sarcomas|53577590|0-14|All Races|Male and Female|2000|||
0.8|1.3|1.0|55|IX(e) Unspecified soft tissue sarcomas|53577590|0-14|All Races|Male and Female|2000|||
~|~|~|~|Not classified by ICCC|53577590|0-14|All Races|Male and Female|2000|||
3.9|5.0|4.4|235|V Retinoblastoma|53577590|0-14|All Races|Male and Female|2000|||
8.0|9.6|8.8|467|VI Renal tumors|53577590|0-14|All Races|Male and Female|2000|||
7.6|9.2|8.4|446|VI(a) Nephroblastoma and other nonepithelial renal tumors|53577590|0-14|All Races|Male and Female|2000|||
0.2|0.6|0.4|20|VI(b) Renal carcinomas|53577590|0-14|All Races|Male and Female|2000|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|53577590|0-14|All Races|Male and Female|2000|||
1.9|2.7|2.3|120|VII Hepatic tumors|53577590|0-14|All Races|Male and Female|2000|||
1.7|2.4|2.0|107|VII(a) Hepatoblastoma|53577590|0-14|All Races|Male and Female|2000|||
~|~|~|~|VII(b) Hepatic carcinomas|53577590|0-14|All Races|Male and Female|2000|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|53577590|0-14|All Races|Male and Female|2000|||
6.0|7.4|6.7|360|VIII Malignant bone tumors|53577590|0-14|All Races|Male and Female|2000|||
3.2|4.3|3.7|201|VIII(a) Osteosarcomas|53577590|0-14|All Races|Male and Female|2000|||
~|~|~|~|VIII(b) Chondrosarcomas|53577590|0-14|All Races|Male and Female|2000|||
2.2|3.1|2.6|142|VIII(c) Ewing tumor and related sarcomas of bone|53577590|0-14|All Races|Male and Female|2000|||
~|~|~|~|VIII(d) Other specified malignant bone tumors|53577590|0-14|All Races|Male and Female|2000|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|53577590|0-14|All Races|Male and Female|2000|||
4.2|5.4|4.8|258|X Germ cell, trophoblastic tumors & neoplasms of gonads|53577590|0-14|All Races|Male and Female|2000|||
1.2|1.9|1.5|80|X(a) Intracranial & intraspinal germ cell tumors|53577590|0-14|All Races|Male and Female|2000|||
0.8|1.4|1.1|59|X(b) Malignant extracranial & extragonadal germ cell tumors|53577590|0-14|All Races|Male and Female|2000|||
1.7|2.4|2.0|109|X(c) Malignant gonadal germ cell tumors|53577590|0-14|All Races|Male and Female|2000|||
~|~|~|~|X(d) Gonadal carcinomas|53577590|0-14|All Races|Male and Female|2000|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|53577590|0-14|All Races|Male and Female|2000|||
5.1|6.3|5.7|305|XI Other malignant epithelial neoplasms and malignant melanomas|53577590|0-14|All Races|Male and Female|2000|||
0.2|0.5|0.3|16|XI(a) Adrenocortical carcinomas|53577590|0-14|All Races|Male and Female|2000|||
1.5|2.3|1.9|100|XI(b) Thyroid carcinomas|53577590|0-14|All Races|Male and Female|2000|||
0.2|0.5|0.3|18|XI(c) Nasopharyngeal carcinomas|53577590|0-14|All Races|Male and Female|2000|||
1.3|2.1|1.7|90|XI(d) Malignant melanomas|53577590|0-14|All Races|Male and Female|2000|||
~|~|~|~|XI(e) Skin carcinomas|53577590|0-14|All Races|Male and Female|2000|||
1.1|1.8|1.5|78|XI(f) Other and unspecified carcinomas|53577590|0-14|All Races|Male and Female|2000|||
0.6|1.0|0.8|41|XII Other and unspecified malignant neoplasms|53577590|0-14|All Races|Male and Female|2000|||
~|~|~|~|XII(a) Other specified malignant tumors|53577590|0-14|All Races|Male and Female|2000|||
0.3|0.8|0.5|28|XII(b) Other unspecified malignant tumors|53577590|0-14|All Races|Male and Female|2000|||
153.3|159.9|156.6|8745|All ICCC Groups Combined|55895109|0-14|All Races|Male and Female|2001|||
49.0|52.7|50.8|2825|I Leukemias, myeloproliferative & myelodysplastic diseases|55895109|0-14|All Races|Male and Female|2001|||
37.3|40.6|38.9|2159|I(a) Lymphoid leukemias|55895109|0-14|All Races|Male and Female|2001|||
6.7|8.1|7.4|412|I(b) Acute myeloid leukemias|55895109|0-14|All Races|Male and Female|2001|||
1.3|2.0|1.6|93|I(c) Chronic myeloproliferative diseases|55895109|0-14|All Races|Male and Female|2001|||
1.3|2.0|1.7|93|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|55895109|0-14|All Races|Male and Female|2001|||
0.9|1.5|1.2|68|I(e) Unspecified and other specified leukemias|55895109|0-14|All Races|Male and Female|2001|||
15.0|17.1|16.1|902|II Lymphomas and reticuloendothelial neoplasms|55895109|0-14|All Races|Male and Female|2001|||
5.3|6.5|5.9|331|II(a) Hodgkin lymphomas|55895109|0-14|All Races|Male and Female|2001|||
5.8|7.2|6.5|364|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|55895109|0-14|All Races|Male and Female|2001|||
1.9|2.7|2.3|127|II(c) Burkitt lymphoma|55895109|0-14|All Races|Male and Female|2001|||
0.8|1.3|1.0|58|II(d) Miscellaneous lymphoreticular neoplasms|55895109|0-14|All Races|Male and Female|2001|||
0.2|0.6|0.4|22|II(e) Unspecified lymphomas|55895109|0-14|All Races|Male and Female|2001|||
31.2|34.2|32.7|1823|III CNS and misc intracranial and intraspinal neoplasms|55895109|0-14|All Races|Male and Female|2001|||
2.4|3.3|2.8|155|III(a) Ependymomas and choroid plexus tumor|55895109|0-14|All Races|Male and Female|2001|||
15.1|17.2|16.1|899|III(b) Astrocytomas|55895109|0-14|All Races|Male and Female|2001|||
6.6|8.1|7.3|408|III(c) Intracranial and intraspinal embryonal tumors|55895109|0-14|All Races|Male and Female|2001|||
4.8|6.1|5.4|304|III(d) Other gliomas|55895109|0-14|All Races|Male and Female|2001|||
0.5|0.9|0.7|37|III(e) Other specified intracranial & intraspinal neoplasms|55895109|0-14|All Races|Male and Female|2001|||
0.2|0.6|0.4|20|III(f) Unspecified intracranial and intraspinal neoplasms|55895109|0-14|All Races|Male and Female|2001|||
10.9|12.7|11.8|658|IV Neuroblastoma and other peripheral nervous cell tumors|55895109|0-14|All Races|Male and Female|2001|||
10.8|12.6|11.6|651|IV(a) Neuroblastoma and ganglioneuroblastoma|55895109|0-14|All Races|Male and Female|2001|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|55895109|0-14|All Races|Male and Female|2001|||
9.6|11.3|10.4|582|IX Soft tissue and other extraosseous sarcomas|55895109|0-14|All Races|Male and Female|2001|||
4.5|5.7|5.1|283|IX(a) Rhabdomyosarcomas|55895109|0-14|All Races|Male and Female|2001|||
1.0|1.6|1.3|72|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|55895109|0-14|All Races|Male and Female|2001|||
~|~|~|~|IX(c) Kaposi sarcoma|55895109|0-14|All Races|Male and Female|2001|||
2.6|3.5|3.0|170|IX(d) Other specified soft tissue sarcomas|55895109|0-14|All Races|Male and Female|2001|||
0.8|1.3|1.0|57|IX(e) Unspecified soft tissue sarcomas|55895109|0-14|All Races|Male and Female|2001|||
~|~|~|~|Not classified by ICCC|55895109|0-14|All Races|Male and Female|2001|||
3.8|5.0|4.4|245|V Retinoblastoma|55895109|0-14|All Races|Male and Female|2001|||
7.8|9.3|8.5|473|VI Renal tumors|55895109|0-14|All Races|Male and Female|2001|||
7.4|8.9|8.2|452|VI(a) Nephroblastoma and other nonepithelial renal tumors|55895109|0-14|All Races|Male and Female|2001|||
0.2|0.5|0.3|19|VI(b) Renal carcinomas|55895109|0-14|All Races|Male and Female|2001|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|55895109|0-14|All Races|Male and Female|2001|||
1.7|2.5|2.1|118|VII Hepatic tumors|55895109|0-14|All Races|Male and Female|2001|||
1.4|2.1|1.7|95|VII(a) Hepatoblastoma|55895109|0-14|All Races|Male and Female|2001|||
0.2|0.6|0.4|22|VII(b) Hepatic carcinomas|55895109|0-14|All Races|Male and Female|2001|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|55895109|0-14|All Races|Male and Female|2001|||
6.3|7.7|7.0|394|VIII Malignant bone tumors|55895109|0-14|All Races|Male and Female|2001|||
3.3|4.3|3.8|214|VIII(a) Osteosarcomas|55895109|0-14|All Races|Male and Female|2001|||
~|~|~|~|VIII(b) Chondrosarcomas|55895109|0-14|All Races|Male and Female|2001|||
2.3|3.2|2.7|153|VIII(c) Ewing tumor and related sarcomas of bone|55895109|0-14|All Races|Male and Female|2001|||
~|~|~|~|VIII(d) Other specified malignant bone tumors|55895109|0-14|All Races|Male and Female|2001|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|55895109|0-14|All Races|Male and Female|2001|||
4.5|5.7|5.1|287|X Germ cell, trophoblastic tumors & neoplasms of gonads|55895109|0-14|All Races|Male and Female|2001|||
1.0|1.6|1.3|73|X(a) Intracranial & intraspinal germ cell tumors|55895109|0-14|All Races|Male and Female|2001|||
1.1|1.8|1.4|80|X(b) Malignant extracranial & extragonadal germ cell tumors|55895109|0-14|All Races|Male and Female|2001|||
1.7|2.5|2.1|116|X(c) Malignant gonadal germ cell tumors|55895109|0-14|All Races|Male and Female|2001|||
~|~|~|~|X(d) Gonadal carcinomas|55895109|0-14|All Races|Male and Female|2001|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|55895109|0-14|All Races|Male and Female|2001|||
6.1|7.5|6.8|384|XI Other malignant epithelial neoplasms and malignant melanomas|55895109|0-14|All Races|Male and Female|2001|||
~|~|~|~|XI(a) Adrenocortical carcinomas|55895109|0-14|All Races|Male and Female|2001|||
1.9|2.8|2.3|132|XI(b) Thyroid carcinomas|55895109|0-14|All Races|Male and Female|2001|||
0.2|0.5|0.3|18|XI(c) Nasopharyngeal carcinomas|55895109|0-14|All Races|Male and Female|2001|||
1.7|2.5|2.1|118|XI(d) Malignant melanomas|55895109|0-14|All Races|Male and Female|2001|||
~|~|~|~|XI(e) Skin carcinomas|55895109|0-14|All Races|Male and Female|2001|||
1.4|2.1|1.7|98|XI(f) Other and unspecified carcinomas|55895109|0-14|All Races|Male and Female|2001|||
0.5|1.0|0.7|40|XII Other and unspecified malignant neoplasms|55895109|0-14|All Races|Male and Female|2001|||
0.2|0.6|0.4|21|XII(a) Other specified malignant tumors|55895109|0-14|All Races|Male and Female|2001|||
0.2|0.5|0.3|19|XII(b) Other unspecified malignant tumors|55895109|0-14|All Races|Male and Female|2001|||
152.6|159.2|155.8|8658|All ICCC Groups Combined|55565102|0-14|All Races|Male and Female|2002|||
48.0|51.8|49.9|2759|I Leukemias, myeloproliferative & myelodysplastic diseases|55565102|0-14|All Races|Male and Female|2002|||
35.9|39.2|37.5|2070|I(a) Lymphoid leukemias|55565102|0-14|All Races|Male and Female|2002|||
7.2|8.6|7.9|439|I(b) Acute myeloid leukemias|55565102|0-14|All Races|Male and Female|2002|||
1.3|2.0|1.6|89|I(c) Chronic myeloproliferative diseases|55565102|0-14|All Races|Male and Female|2002|||
1.3|2.0|1.7|92|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|55565102|0-14|All Races|Male and Female|2002|||
1.0|1.6|1.2|69|I(e) Unspecified and other specified leukemias|55565102|0-14|All Races|Male and Female|2002|||
14.7|16.8|15.8|883|II Lymphomas and reticuloendothelial neoplasms|55565102|0-14|All Races|Male and Female|2002|||
4.8|6.1|5.4|306|II(a) Hodgkin lymphomas|55565102|0-14|All Races|Male and Female|2002|||
5.6|6.9|6.2|347|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|55565102|0-14|All Races|Male and Female|2002|||
2.3|3.2|2.8|153|II(c) Burkitt lymphoma|55565102|0-14|All Races|Male and Female|2002|||
0.9|1.5|1.2|65|II(d) Miscellaneous lymphoreticular neoplasms|55565102|0-14|All Races|Male and Female|2002|||
~|~|~|~|II(e) Unspecified lymphomas|55565102|0-14|All Races|Male and Female|2002|||
32.9|36.0|34.4|1907|III CNS and misc intracranial and intraspinal neoplasms|55565102|0-14|All Races|Male and Female|2002|||
3.2|4.2|3.7|205|III(a) Ependymomas and choroid plexus tumor|55565102|0-14|All Races|Male and Female|2002|||
15.2|17.4|16.3|902|III(b) Astrocytomas|55565102|0-14|All Races|Male and Female|2002|||
6.7|8.2|7.4|409|III(c) Intracranial and intraspinal embryonal tumors|55565102|0-14|All Races|Male and Female|2002|||
5.3|6.6|5.9|327|III(d) Other gliomas|55565102|0-14|All Races|Male and Female|2002|||
0.5|1.0|0.7|41|III(e) Other specified intracranial & intraspinal neoplasms|55565102|0-14|All Races|Male and Female|2002|||
0.3|0.6|0.4|23|III(f) Unspecified intracranial and intraspinal neoplasms|55565102|0-14|All Races|Male and Female|2002|||
10.2|11.9|11.0|612|IV Neuroblastoma and other peripheral nervous cell tumors|55565102|0-14|All Races|Male and Female|2002|||
10.1|11.8|10.9|605|IV(a) Neuroblastoma and ganglioneuroblastoma|55565102|0-14|All Races|Male and Female|2002|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|55565102|0-14|All Races|Male and Female|2002|||
10.1|11.9|11.0|611|IX Soft tissue and other extraosseous sarcomas|55565102|0-14|All Races|Male and Female|2002|||
4.8|6.1|5.4|301|IX(a) Rhabdomyosarcomas|55565102|0-14|All Races|Male and Female|2002|||
1.0|1.6|1.2|69|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|55565102|0-14|All Races|Male and Female|2002|||
~|~|~|~|IX(c) Kaposi sarcoma|55565102|0-14|All Races|Male and Female|2002|||
2.9|3.9|3.3|188|IX(d) Other specified soft tissue sarcomas|55565102|0-14|All Races|Male and Female|2002|||
0.7|1.2|0.9|53|IX(e) Unspecified soft tissue sarcomas|55565102|0-14|All Races|Male and Female|2002|||
0.2|0.6|0.4|20|Not classified by ICCC|55565102|0-14|All Races|Male and Female|2002|||
3.3|4.3|3.7|208|V Retinoblastoma|55565102|0-14|All Races|Male and Female|2002|||
7.4|9.0|8.2|451|VI Renal tumors|55565102|0-14|All Races|Male and Female|2002|||
7.2|8.7|7.9|438|VI(a) Nephroblastoma and other nonepithelial renal tumors|55565102|0-14|All Races|Male and Female|2002|||
~|~|~|~|VI(b) Renal carcinomas|55565102|0-14|All Races|Male and Female|2002|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|55565102|0-14|All Races|Male and Female|2002|||
1.5|2.3|1.9|104|VII Hepatic tumors|55565102|0-14|All Races|Male and Female|2002|||
1.2|1.9|1.5|84|VII(a) Hepatoblastoma|55565102|0-14|All Races|Male and Female|2002|||
0.2|0.5|0.3|19|VII(b) Hepatic carcinomas|55565102|0-14|All Races|Male and Female|2002|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|55565102|0-14|All Races|Male and Female|2002|||
6.3|7.7|7.0|392|VIII Malignant bone tumors|55565102|0-14|All Races|Male and Female|2002|||
3.3|4.3|3.7|211|VIII(a) Osteosarcomas|55565102|0-14|All Races|Male and Female|2002|||
~|~|~|~|VIII(b) Chondrosarcomas|55565102|0-14|All Races|Male and Female|2002|||
2.2|3.1|2.6|145|VIII(c) Ewing tumor and related sarcomas of bone|55565102|0-14|All Races|Male and Female|2002|||
0.2|0.6|0.4|20|VIII(d) Other specified malignant bone tumors|55565102|0-14|All Races|Male and Female|2002|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|55565102|0-14|All Races|Male and Female|2002|||
4.8|6.0|5.4|303|X Germ cell, trophoblastic tumors & neoplasms of gonads|55565102|0-14|All Races|Male and Female|2002|||
1.2|1.8|1.5|83|X(a) Intracranial & intraspinal germ cell tumors|55565102|0-14|All Races|Male and Female|2002|||
1.2|1.9|1.5|85|X(b) Malignant extracranial & extragonadal germ cell tumors|55565102|0-14|All Races|Male and Female|2002|||
1.9|2.7|2.2|125|X(c) Malignant gonadal germ cell tumors|55565102|0-14|All Races|Male and Female|2002|||
~|~|~|~|X(d) Gonadal carcinomas|55565102|0-14|All Races|Male and Female|2002|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|55565102|0-14|All Races|Male and Female|2002|||
5.9|7.3|6.6|372|XI Other malignant epithelial neoplasms and malignant melanomas|55565102|0-14|All Races|Male and Female|2002|||
~|~|~|~|XI(a) Adrenocortical carcinomas|55565102|0-14|All Races|Male and Female|2002|||
1.6|2.4|2.0|112|XI(b) Thyroid carcinomas|55565102|0-14|All Races|Male and Female|2002|||
~|~|~|~|XI(c) Nasopharyngeal carcinomas|55565102|0-14|All Races|Male and Female|2002|||
2.0|2.8|2.4|134|XI(d) Malignant melanomas|55565102|0-14|All Races|Male and Female|2002|||
~|~|~|~|XI(e) Skin carcinomas|55565102|0-14|All Races|Male and Female|2002|||
1.3|2.0|1.6|93|XI(f) Other and unspecified carcinomas|55565102|0-14|All Races|Male and Female|2002|||
0.5|0.9|0.6|36|XII Other and unspecified malignant neoplasms|55565102|0-14|All Races|Male and Female|2002|||
0.2|0.6|0.4|20|XII(a) Other specified malignant tumors|55565102|0-14|All Races|Male and Female|2002|||
0.2|0.5|0.3|16|XII(b) Other unspecified malignant tumors|55565102|0-14|All Races|Male and Female|2002|||
149.3|155.7|152.5|8697|All ICCC Groups Combined|56909320|0-14|All Races|Male and Female|2003|||
45.9|49.5|47.7|2706|I Leukemias, myeloproliferative & myelodysplastic diseases|56909320|0-14|All Races|Male and Female|2003|||
34.6|37.7|36.1|2044|I(a) Lymphoid leukemias|56909320|0-14|All Races|Male and Female|2003|||
6.8|8.3|7.5|430|I(b) Acute myeloid leukemias|56909320|0-14|All Races|Male and Female|2003|||
1.1|1.8|1.4|82|I(c) Chronic myeloproliferative diseases|56909320|0-14|All Races|Male and Female|2003|||
