AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
<1|~|~|~|~|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|3280395|1999
1-4|1.2|2.7|1.8|24|II(c) Burkitt lymphoma|13297303|1999
10-14|2.3|4.0|3.0|53|II(c) Burkitt lymphoma|17507634|1999
15-19|1.5|3.0|2.2|38|II(c) Burkitt lymphoma|17355940|1999
5-9|2.3|4.0|3.1|55|II(c) Burkitt lymphoma|17879968|1999
<1|~|~|~|~|II(c) Burkitt lymphoma|3280395|1999
1-4|0.7|2.0|1.3|17|II(d) Miscellaneous lymphoreticular neoplasms|13297303|1999
10-14|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|17507634|1999
15-19|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|17355940|1999
5-9|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|17879968|1999
<1|3.3|8.7|5.5|18|II(d) Miscellaneous lymphoreticular neoplasms|3280395|1999
1-4|~|~|~|~|II(e) Unspecified lymphomas|13297303|1999
10-14|~|~|~|~|II(e) Unspecified lymphomas|17507634|1999
15-19|0.7|1.7|1.1|19|II(e) Unspecified lymphomas|17355940|1999
5-9|~|~|~|~|II(e) Unspecified lymphomas|17879968|1999
<1|~|~|~|~|II(e) Unspecified lymphomas|3280395|1999
1-4|35.2|42.0|38.5|512|III CNS and misc intracranial and intraspinal neoplasms|13297303|1999
10-14|23.4|28.2|25.7|450|III CNS and misc intracranial and intraspinal neoplasms|17507634|1999
15-19|17.7|22.0|19.8|343|III CNS and misc intracranial and intraspinal neoplasms|17355940|1999
5-9|30.4|35.8|33.0|590|III CNS and misc intracranial and intraspinal neoplasms|17879968|1999
<1|23.2|35.1|28.7|94|III CNS and misc intracranial and intraspinal neoplasms|3280395|1999
1-4|3.2|5.5|4.2|56|III(a) Ependymomas and choroid plexus tumor|13297303|1999
10-14|1.5|2.9|2.1|37|III(a) Ependymomas and choroid plexus tumor|17507634|1999
15-19|1.0|2.3|1.6|27|III(a) Ependymomas and choroid plexus tumor|17355940|1999
5-9|1.6|3.1|2.3|41|III(a) Ependymomas and choroid plexus tumor|17879968|1999
<1|~|~|~|~|III(a) Ependymomas and choroid plexus tumor|3280395|1999
1-4|13.9|18.2|15.9|212|III(b) Astrocytomas|13297303|1999
10-14|12.0|15.5|13.7|239|III(b) Astrocytomas|17507634|1999
15-19|9.8|13.1|11.4|197|III(b) Astrocytomas|17355940|1999
5-9|12.5|16.0|14.1|253|III(b) Astrocytomas|17879968|1999
<1|9.0|17.0|12.5|41|III(b) Astrocytomas|3280395|1999
1-4|9.1|12.7|10.8|144|III(c) Intracranial and intraspinal embryonal tumors|13297303|1999
10-14|4.7|7.0|5.8|101|III(c) Intracranial and intraspinal embryonal tumors|17507634|1999
15-19|2.1|3.8|2.9|50|III(c) Intracranial and intraspinal embryonal tumors|17355940|1999
5-9|7.4|10.1|8.7|155|III(c) Intracranial and intraspinal embryonal tumors|17879968|1999
<1|4.2|10.2|6.7|22|III(c) Intracranial and intraspinal embryonal tumors|3280395|1999
1-4|4.9|7.7|6.2|82|III(d) Other gliomas|13297303|1999
10-14|2.6|4.3|3.4|59|III(d) Other gliomas|17507634|1999
15-19|2.3|4.1|3.1|54|III(d) Other gliomas|17355940|1999
5-9|5.8|8.3|6.9|124|III(d) Other gliomas|17879968|1999
<1|~|~|~|~|III(d) Other gliomas|3280395|1999
1-4|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|13297303|1999
10-14|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|17507634|1999
15-19|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|17355940|1999
5-9|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|17879968|1999
<1|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|3280395|1999
1-4|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|13297303|1999
10-14|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|17507634|1999
15-19|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|17355940|1999
5-9|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|17879968|1999
<1|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|3280395|1999
1-4|18.4|23.4|20.8|276|IV Neuroblastoma and other peripheral nervous cell tumors|13297303|1999
10-14|0.7|1.8|1.1|20|IV Neuroblastoma and other peripheral nervous cell tumors|17507634|1999
15-19|0.7|1.8|1.2|20|IV Neuroblastoma and other peripheral nervous cell tumors|17355940|1999
5-9|2.1|3.8|2.9|51|IV Neuroblastoma and other peripheral nervous cell tumors|17879968|1999
<1|52.8|70.0|61.0|200|IV Neuroblastoma and other peripheral nervous cell tumors|3280395|1999
1-4|18.4|23.4|20.8|276|IV(a) Neuroblastoma and ganglioneuroblastoma|13297303|1999
10-14|~|~|~|~|IV(a) Neuroblastoma and ganglioneuroblastoma|17507634|1999
15-19|~|~|~|~|IV(a) Neuroblastoma and ganglioneuroblastoma|17355940|1999
5-9|2.0|3.6|2.7|49|IV(a) Neuroblastoma and ganglioneuroblastoma|17879968|1999
<1|52.8|70.0|61.0|200|IV(a) Neuroblastoma and ganglioneuroblastoma|3280395|1999
1-4|~|~|~|~|IV(b) Other peripheral nervous cell tumors|13297303|1999
10-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|17507634|1999
15-19|~|~|~|~|IV(b) Other peripheral nervous cell tumors|17355940|1999
5-9|~|~|~|~|IV(b) Other peripheral nervous cell tumors|17879968|1999
<1|~|~|~|~|IV(b) Other peripheral nervous cell tumors|3280395|1999
1-4|8.2|11.7|9.9|131|IX Soft tissue and other extraosseous sarcomas|13297303|1999
10-14|7.9|10.8|9.3|162|IX Soft tissue and other extraosseous sarcomas|17507634|1999
15-19|13.2|16.9|14.9|259|IX Soft tissue and other extraosseous sarcomas|17355940|1999
5-9|7.4|10.1|8.7|155|IX Soft tissue and other extraosseous sarcomas|17879968|1999
<1|11.1|19.7|14.9|49|IX Soft tissue and other extraosseous sarcomas|3280395|1999
1-4|5.2|8.0|6.5|86|IX(a) Rhabdomyosarcomas|13297303|1999
10-14|2.5|4.2|3.3|57|IX(a) Rhabdomyosarcomas|17507634|1999
15-19|2.6|4.4|3.5|60|IX(a) Rhabdomyosarcomas|17355940|1999
5-9|4.0|6.2|5.0|90|IX(a) Rhabdomyosarcomas|17879968|1999
<1|5.2|11.6|7.9|26|IX(a) Rhabdomyosarcomas|3280395|1999
1-4|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|13297303|1999
10-14|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|17507634|1999
15-19|1.1|2.4|1.7|29|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|17355940|1999
5-9|0.6|1.6|1.0|18|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|17879968|1999
<1|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|3280395|1999
1-4|~|~|~|~|IX(c) Kaposi sarcoma|13297303|1999
10-14|~|~|~|~|IX(c) Kaposi sarcoma|17507634|1999
15-19|~|~|~|~|IX(c) Kaposi sarcoma|17355940|1999
5-9|~|~|~|~|IX(c) Kaposi sarcoma|17879968|1999
<1|~|~|~|~|IX(c) Kaposi sarcoma|3280395|1999
1-4|1.5|3.1|2.2|29|IX(d) Other specified soft tissue sarcomas|13297303|1999
10-14|3.1|5.0|3.9|69|IX(d) Other specified soft tissue sarcomas|17507634|1999
15-19|6.4|9.1|7.7|133|IX(d) Other specified soft tissue sarcomas|17355940|1999
5-9|1.3|2.6|1.8|33|IX(d) Other specified soft tissue sarcomas|17879968|1999
<1|~|~|~|~|IX(d) Other specified soft tissue sarcomas|3280395|1999
1-4|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|13297303|1999
10-14|0.7|1.8|1.2|21|IX(e) Unspecified soft tissue sarcomas|17507634|1999
15-19|1.4|2.8|2.0|35|IX(e) Unspecified soft tissue sarcomas|17355940|1999
5-9|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|17879968|1999
<1|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|3280395|1999
1-4|~|~|~|~|Not classified by ICCC|13297303|1999
10-14|~|~|~|~|Not classified by ICCC|17507634|1999
15-19|~|~|~|~|Not classified by ICCC|17355940|1999
5-9|~|~|~|~|Not classified by ICCC|17879968|1999
<1|~|~|~|~|Not classified by ICCC|3280395|1999
1-4|7.8|11.2|9.4|125|V Retinoblastoma|13297303|1999
10-14|~|~|~|~|V Retinoblastoma|17507634|1999
15-19|~|~|~|~|V Retinoblastoma|17355940|1999
5-9|~|~|~|~|V Retinoblastoma|17879968|1999
<1|21.8|33.4|27.1|89|V Retinoblastoma|3280395|1999
1-4|15.8|20.5|18.0|240|VI Renal tumors|13297303|1999
10-14|0.8|1.9|1.3|22|VI Renal tumors|17507634|1999
15-19|0.9|2.1|1.4|25|VI Renal tumors|17355940|1999
5-9|4.0|6.2|5.0|90|VI Renal tumors|17879968|1999
<1|14.8|24.6|19.2|63|VI Renal tumors|3280395|1999
1-4|15.7|20.3|17.9|238|VI(a) Nephroblastoma and other nonepithelial renal tumors|13297303|1999
10-14|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|17507634|1999
15-19|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|17355940|1999
5-9|3.7|5.8|4.7|84|VI(a) Nephroblastoma and other nonepithelial renal tumors|17879968|1999
<1|13.2|22.5|17.4|57|VI(a) Nephroblastoma and other nonepithelial renal tumors|3280395|1999
1-4|~|~|~|~|VI(b) Renal carcinomas|13297303|1999
10-14|~|~|~|~|VI(b) Renal carcinomas|17507634|1999
15-19|0.5|1.5|0.9|16|VI(b) Renal carcinomas|17355940|1999
5-9|~|~|~|~|VI(b) Renal carcinomas|17879968|1999
<1|~|~|~|~|VI(b) Renal carcinomas|3280395|1999
1-4|~|~|~|~|VI(c) Unspecified malignant renal tumors|13297303|1999
10-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|17507634|1999
15-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|17355940|1999
5-9|~|~|~|~|VI(c) Unspecified malignant renal tumors|17879968|1999
<1|~|~|~|~|VI(c) Unspecified malignant renal tumors|3280395|1999
1-4|3.2|5.5|4.2|56|VII Hepatic tumors|13297303|1999
10-14|~|~|~|~|VII Hepatic tumors|17507634|1999
15-19|1.1|2.3|1.6|28|VII Hepatic tumors|17355940|1999
5-9|~|~|~|~|VII Hepatic tumors|17879968|1999
<1|5.9|12.7|8.8|29|VII Hepatic tumors|3280395|1999
1-4|2.9|5.0|3.8|51|VII(a) Hepatoblastoma|13297303|1999
10-14|~|~|~|~|VII(a) Hepatoblastoma|17507634|1999
15-19|~|~|~|~|VII(a) Hepatoblastoma|17355940|1999
5-9|~|~|~|~|VII(a) Hepatoblastoma|17879968|1999
<1|5.9|12.7|8.8|29|VII(a) Hepatoblastoma|3280395|1999
1-4|~|~|~|~|VII(b) Hepatic carcinomas|13297303|1999
10-14|~|~|~|~|VII(b) Hepatic carcinomas|17507634|1999
15-19|1.0|2.3|1.6|27|VII(b) Hepatic carcinomas|17355940|1999
5-9|~|~|~|~|VII(b) Hepatic carcinomas|17879968|1999
<1|~|~|~|~|VII(b) Hepatic carcinomas|3280395|1999
1-4|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|13297303|1999
10-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|17507634|1999
15-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|17355940|1999
5-9|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|17879968|1999
<1|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|3280395|1999
1-4|1.0|2.4|1.6|21|VIII Malignant bone tumors|13297303|1999
10-14|12.9|16.5|14.6|256|VIII Malignant bone tumors|17507634|1999
15-19|12.2|15.8|13.9|241|VIII Malignant bone tumors|17355940|1999
5-9|4.4|6.7|5.5|98|VIII Malignant bone tumors|17879968|1999
<1|~|~|~|~|VIII Malignant bone tumors|3280395|1999
1-4|~|~|~|~|VIII(a) Osteosarcomas|13297303|1999
10-14|7.8|10.7|9.1|160|VIII(a) Osteosarcomas|17507634|1999
15-19|6.6|9.3|7.9|137|VIII(a) Osteosarcomas|17355940|1999
5-9|2.1|3.8|2.9|51|VIII(a) Osteosarcomas|17879968|1999
<1|~|~|~|~|VIII(a) Osteosarcomas|3280395|1999
1-4|~|~|~|~|VIII(b) Chondrosarcomas|13297303|1999
10-14|~|~|~|~|VIII(b) Chondrosarcomas|17507634|1999
15-19|0.6|1.6|1.0|17|VIII(b) Chondrosarcomas|17355940|1999
5-9|~|~|~|~|VIII(b) Chondrosarcomas|17879968|1999
<1|~|~|~|~|VIII(b) Chondrosarcomas|3280395|1999
1-4|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|13297303|1999
10-14|3.7|5.8|4.6|81|VIII(c) Ewing tumor and related sarcomas of bone|17507634|1999
15-19|2.9|4.8|3.8|66|VIII(c) Ewing tumor and related sarcomas of bone|17355940|1999
5-9|1.4|2.8|2.0|36|VIII(c) Ewing tumor and related sarcomas of bone|17879968|1999
<1|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|3280395|1999
1-4|~|~|~|~|VIII(d) Other specified malignant bone tumors|13297303|1999
10-14|~|~|~|~|VIII(d) Other specified malignant bone tumors|17507634|1999
15-19|0.6|1.6|1.0|17|VIII(d) Other specified malignant bone tumors|17355940|1999
5-9|~|~|~|~|VIII(d) Other specified malignant bone tumors|17879968|1999
<1|~|~|~|~|VIII(d) Other specified malignant bone tumors|3280395|1999
1-4|~|~|~|~|VIII(e) Unspecified malignant bone tumors|13297303|1999
10-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|17507634|1999
15-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|17355940|1999
5-9|~|~|~|~|VIII(e) Unspecified malignant bone tumors|17879968|1999
<1|~|~|~|~|VIII(e) Unspecified malignant bone tumors|3280395|1999
1-4|2.5|4.6|3.5|46|X Germ cell, trophoblastic tumors & neoplasms of gonads|13297303|1999
10-14|5.6|8.1|6.7|118|X Germ cell, trophoblastic tumors & neoplasms of gonads|17507634|1999
15-19|23.6|28.5|26.0|451|X Germ cell, trophoblastic tumors & neoplasms of gonads|17355940|1999
5-9|1.0|2.3|1.6|28|X Germ cell, trophoblastic tumors & neoplasms of gonads|17879968|1999
<1|14.8|24.6|19.2|63|X Germ cell, trophoblastic tumors & neoplasms of gonads|3280395|1999
1-4|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|13297303|1999
10-14|1.9|3.4|2.6|45|X(a) Intracranial & intraspinal germ cell tumors|17507634|1999
15-19|1.1|2.3|1.6|28|X(a) Intracranial & intraspinal germ cell tumors|17355940|1999
5-9|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|17879968|1999
<1|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|3280395|1999
1-4|0.8|2.1|1.4|18|X(b) Malignant extracranial & extragonadal germ cell tumors|13297303|1999
10-14|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|17507634|1999
15-19|0.9|2.1|1.4|25|X(b) Malignant extracranial & extragonadal germ cell tumors|17355940|1999
5-9|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|17879968|1999
<1|8.7|16.6|12.2|40|X(b) Malignant extracranial & extragonadal germ cell tumors|3280395|1999
1-4|1.0|2.4|1.6|21|X(c) Malignant gonadal germ cell tumors|13297303|1999
10-14|2.3|4.0|3.1|54|X(c) Malignant gonadal germ cell tumors|17507634|1999
15-19|18.8|23.2|20.9|363|X(c) Malignant gonadal germ cell tumors|17355940|1999
5-9|~|~|~|~|X(c) Malignant gonadal germ cell tumors|17879968|1999
<1|3.5|9.0|5.8|19|X(c) Malignant gonadal germ cell tumors|3280395|1999
1-4|~|~|~|~|X(d) Gonadal carcinomas|13297303|1999
10-14|~|~|~|~|X(d) Gonadal carcinomas|17507634|1999
15-19|0.9|2.1|1.4|25|X(d) Gonadal carcinomas|17355940|1999
5-9|~|~|~|~|X(d) Gonadal carcinomas|17879968|1999
<1|~|~|~|~|X(d) Gonadal carcinomas|3280395|1999
1-4|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|13297303|1999
10-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|17507634|1999
15-19|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|17355940|1999
5-9|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|17879968|1999
<1|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|3280395|1999
1-4|0.7|2.0|1.2|16|XI Other malignant epithelial neoplasms and malignant melanomas|13297303|1999
10-14|10.9|14.2|12.5|218|XI Other malignant epithelial neoplasms and malignant melanomas|17507634|1999
15-19|41.2|47.5|44.2|768|XI Other malignant epithelial neoplasms and malignant melanomas|17355940|1999
5-9|2.3|4.0|3.1|55|XI Other malignant epithelial neoplasms and malignant melanomas|17879968|1999
<1|3.3|8.7|5.5|18|XI Other malignant epithelial neoplasms and malignant melanomas|3280395|1999
1-4|~|~|~|~|XI(a) Adrenocortical carcinomas|13297303|1999
10-14|~|~|~|~|XI(a) Adrenocortical carcinomas|17507634|1999
15-19|~|~|~|~|XI(a) Adrenocortical carcinomas|17355940|1999
5-9|~|~|~|~|XI(a) Adrenocortical carcinomas|17879968|1999
<1|~|~|~|~|XI(a) Adrenocortical carcinomas|3280395|1999
1-4|~|~|~|~|XI(b) Thyroid carcinomas|13297303|1999
10-14|2.9|4.8|3.8|66|XI(b) Thyroid carcinomas|17507634|1999
15-19|15.9|19.9|17.8|309|XI(b) Thyroid carcinomas|17355940|1999
5-9|1.1|2.3|1.6|29|XI(b) Thyroid carcinomas|17879968|1999
<1|~|~|~|~|XI(b) Thyroid carcinomas|3280395|1999
1-4|~|~|~|~|XI(c) Nasopharyngeal carcinomas|13297303|1999
10-14|0.6|1.6|1.0|18|XI(c) Nasopharyngeal carcinomas|17507634|1999
15-19|0.6|1.6|1.0|18|XI(c) Nasopharyngeal carcinomas|17355940|1999
5-9|~|~|~|~|XI(c) Nasopharyngeal carcinomas|17879968|1999
<1|~|~|~|~|XI(c) Nasopharyngeal carcinomas|3280395|1999
1-4|~|~|~|~|XI(d) Malignant melanomas|13297303|1999
10-14|2.8|4.7|3.7|64|XI(d) Malignant melanomas|17507634|1999
15-19|12.5|16.1|14.2|246|XI(d) Malignant melanomas|17355940|1999
5-9|~|~|~|~|XI(d) Malignant melanomas|17879968|1999
<1|~|~|~|~|XI(d) Malignant melanomas|3280395|1999
1-4|~|~|~|~|XI(e) Skin carcinomas|13297303|1999
10-14|~|~|~|~|XI(e) Skin carcinomas|17507634|1999
15-19|~|~|~|~|XI(e) Skin carcinomas|17355940|1999
5-9|~|~|~|~|XI(e) Skin carcinomas|17879968|1999
<1|~|~|~|~|XI(e) Skin carcinomas|3280395|1999
1-4|~|~|~|~|XI(f) Other and unspecified carcinomas|13297303|1999
10-14|2.6|4.3|3.4|59|XI(f) Other and unspecified carcinomas|17507634|1999
15-19|9.3|12.5|10.8|188|XI(f) Other and unspecified carcinomas|17355940|1999
5-9|~|~|~|~|XI(f) Other and unspecified carcinomas|17879968|1999
<1|~|~|~|~|XI(f) Other and unspecified carcinomas|3280395|1999
1-4|~|~|~|~|XII Other and unspecified malignant neoplasms|13297303|1999
10-14|~|~|~|~|XII Other and unspecified malignant neoplasms|17507634|1999
15-19|1.2|2.5|1.8|31|XII Other and unspecified malignant neoplasms|17355940|1999
5-9|~|~|~|~|XII Other and unspecified malignant neoplasms|17879968|1999
<1|~|~|~|~|XII Other and unspecified malignant neoplasms|3280395|1999
1-4|~|~|~|~|XII(a) Other specified malignant tumors|13297303|1999
10-14|~|~|~|~|XII(a) Other specified malignant tumors|17507634|1999
15-19|~|~|~|~|XII(a) Other specified malignant tumors|17355940|1999
5-9|~|~|~|~|XII(a) Other specified malignant tumors|17879968|1999
<1|~|~|~|~|XII(a) Other specified malignant tumors|3280395|1999
1-4|~|~|~|~|XII(b) Other unspecified malignant tumors|13297303|1999
10-14|~|~|~|~|XII(b) Other unspecified malignant tumors|17507634|1999
15-19|1.0|2.2|1.5|26|XII(b) Other unspecified malignant tumors|17355940|1999
5-9|~|~|~|~|XII(b) Other unspecified malignant tumors|17879968|1999
<1|~|~|~|~|XII(b) Other unspecified malignant tumors|3280395|1999
1-4|197.6|212.9|205.1|2793|All ICCC Groups Combined|13615288|2000
10-14|118.8|129.1|123.8|2271|All ICCC Groups Combined|18336708|2000
15-19|199.7|213.0|206.2|3712|All ICCC Groups Combined|17999090|2000
5-9|111.3|121.2|116.2|2115|All ICCC Groups Combined|18205547|2000
<1|221.7|254.6|237.7|813|All ICCC Groups Combined|3420047|2000
1-4|79.3|89.1|84.1|1145|I Leukemias, myeloproliferative & myelodysplastic diseases|13615288|2000
10-14|22.6|27.3|24.9|456|I Leukemias, myeloproliferative & myelodysplastic diseases|18336708|2000
15-19|25.1|30.0|27.5|495|I Leukemias, myeloproliferative & myelodysplastic diseases|17999090|2000
5-9|35.4|41.1|38.2|695|I Leukemias, myeloproliferative & myelodysplastic diseases|18205547|2000
<1|40.6|55.6|47.7|163|I Leukemias, myeloproliferative & myelodysplastic diseases|3420047|2000
1-4|67.5|76.6|71.9|979|I(a) Lymphoid leukemias|13615288|2000
10-14|16.1|20.0|17.9|329|I(a) Lymphoid leukemias|18336708|2000
15-19|14.4|18.1|16.2|291|I(a) Lymphoid leukemias|17999090|2000
5-9|29.7|35.0|32.2|587|I(a) Lymphoid leukemias|18205547|2000
<1|19.6|30.4|24.6|84|I(a) Lymphoid leukemias|3420047|2000
1-4|8.0|11.4|9.6|131|I(b) Acute myeloid leukemias|13615288|2000
10-14|4.0|6.1|5.0|91|I(b) Acute myeloid leukemias|18336708|2000
15-19|7.3|10.1|8.6|155|I(b) Acute myeloid leukemias|17999090|2000
5-9|3.4|5.3|4.3|78|I(b) Acute myeloid leukemias|18205547|2000
<1|12.4|21.3|16.4|56|I(b) Acute myeloid leukemias|3420047|2000
1-4|~|~|~|~|I(c) Chronic myeloproliferative diseases|13615288|2000
10-14|0.7|1.8|1.1|21|I(c) Chronic myeloproliferative diseases|18336708|2000
15-19|0.9|2.0|1.3|24|I(c) Chronic myeloproliferative diseases|17999090|2000
5-9|~|~|~|~|I(c) Chronic myeloproliferative diseases|18205547|2000
<1|~|~|~|~|I(c) Chronic myeloproliferative diseases|3420047|2000
1-4|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|13615288|2000
10-14|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|18336708|2000
15-19|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|17999090|2000
5-9|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|18205547|2000
<1|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|3420047|2000
