AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|BEHAVIOR|COUNT|POPULATION|SEX|SITE|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
0-19|0.0|0.0|0.0|Malignant|21|191951502|Female|Anaplastic oligodendroglioma|2006-2010|0.0|0.0|0.0
0-19|~|~|~|Benign/Borderline|~|39682297|Female|Anaplastic oligodendroglioma|2007|~|~|~
0-19|~|~|~|Malignant|~|39682297|Female|Anaplastic oligodendroglioma|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|39875033|Female|Anaplastic oligodendroglioma|2008|~|~|~
0-19|~|~|~|Malignant|~|39875033|Female|Anaplastic oligodendroglioma|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|39970215|Female|Anaplastic oligodendroglioma|2009|~|~|~
0-19|~|~|~|Malignant|~|39970215|Female|Anaplastic oligodendroglioma|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|39544072|Female|Anaplastic oligodendroglioma|2010|~|~|~
0-19|~|~|~|Malignant|~|39544072|Female|Anaplastic oligodendroglioma|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|38177564|Female|Astrocytoma, NOS|2004|~|~|~
0-19|0.2|0.3|0.2|Malignant|85|38177564|Female|Astrocytoma, NOS|2004|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|38305772|Female|Astrocytoma, NOS|2005|~|~|~
0-19|0.2|0.3|0.2|Malignant|90|38305772|Female|Astrocytoma, NOS|2005|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|38466303|Female|Astrocytoma, NOS|2006|~|~|~
0-19|0.2|0.3|0.2|Malignant|87|38466303|Female|Astrocytoma, NOS|2006|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|191951502|Female|Astrocytoma, NOS|2006-2010|~|~|~
0-19|0.2|0.2|0.2|Malignant|411|191951502|Female|Astrocytoma, NOS|2006-2010|0.2|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|39682297|Female|Astrocytoma, NOS|2007|~|~|~
0-19|0.2|0.3|0.2|Malignant|84|39682297|Female|Astrocytoma, NOS|2007|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|39875033|Female|Astrocytoma, NOS|2008|~|~|~
0-19|0.2|0.3|0.2|Malignant|83|39875033|Female|Astrocytoma, NOS|2008|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|39970215|Female|Astrocytoma, NOS|2009|~|~|~
0-19|0.2|0.3|0.2|Malignant|87|39970215|Female|Astrocytoma, NOS|2009|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|39544072|Female|Astrocytoma, NOS|2010|~|~|~
0-19|0.2|0.3|0.2|Malignant|87|39544072|Female|Astrocytoma, NOS|2010|0.2|0.3|0.2
0-19|0.0|0.1|0.1|Benign/Borderline|27|38177564|Female|Choroid plexus|2004|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|38177564|Female|Choroid plexus|2004|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|18|38305772|Female|Choroid plexus|2005|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|38305772|Female|Choroid plexus|2005|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|28|38466303|Female|Choroid plexus|2006|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|38466303|Female|Choroid plexus|2006|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|146|191951502|Female|Choroid plexus|2006-2010|0.1|0.1|0.1
0-19|0.0|0.0|0.0|Malignant|37|191951502|Female|Choroid plexus|2006-2010|0.0|0.0|0.0
0-19|0.0|0.1|0.1|Benign/Borderline|30|39682297|Female|Choroid plexus|2007|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|39682297|Female|Choroid plexus|2007|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|39|39875033|Female|Choroid plexus|2008|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|39875033|Female|Choroid plexus|2008|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|21|39970215|Female|Choroid plexus|2009|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|39970215|Female|Choroid plexus|2009|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|28|39544072|Female|Choroid plexus|2010|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|39544072|Female|Choroid plexus|2010|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|77|38177564|Female|Craniopharyngioma|2004|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|38177564|Female|Craniopharyngioma|2004|~|~|~
0-19|0.2|0.2|0.2|Benign/Borderline|73|38305772|Female|Craniopharyngioma|2005|0.1|0.2|0.2
0-19|~|~|~|Malignant|~|38305772|Female|Craniopharyngioma|2005|~|~|~
0-19|0.1|0.2|0.2|Benign/Borderline|73|38466303|Female|Craniopharyngioma|2006|0.1|0.2|0.2
0-19|~|~|~|Malignant|~|38466303|Female|Craniopharyngioma|2006|~|~|~
0-19|0.2|0.2|0.2|Benign/Borderline|382|191951502|Female|Craniopharyngioma|2006-2010|0.2|0.2|0.2
0-19|~|~|~|Malignant|~|191951502|Female|Craniopharyngioma|2006-2010|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|89|39682297|Female|Craniopharyngioma|2007|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|39682297|Female|Craniopharyngioma|2007|~|~|~
0-19|0.1|0.2|0.2|Benign/Borderline|60|39875033|Female|Craniopharyngioma|2008|0.1|0.2|0.2
0-19|~|~|~|Malignant|~|39875033|Female|Craniopharyngioma|2008|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|87|39970215|Female|Craniopharyngioma|2009|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|39970215|Female|Craniopharyngioma|2009|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|84|39544072|Female|Craniopharyngioma|2010|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|39544072|Female|Craniopharyngioma|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|38177564|Female|Diffuse astrocytoma|2004|~|~|~
0-19|0.0|0.1|0.0|Malignant|19|38177564|Female|Diffuse astrocytoma|2004|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|38305772|Female|Diffuse astrocytoma|2005|~|~|~
0-19|0.0|0.1|0.1|Malignant|20|38305772|Female|Diffuse astrocytoma|2005|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|38466303|Female|Diffuse astrocytoma|2006|~|~|~
0-19|~|~|~|Malignant|~|38466303|Female|Diffuse astrocytoma|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|191951502|Female|Diffuse astrocytoma|2006-2010|~|~|~
0-19|0.0|0.1|0.0|Malignant|83|191951502|Female|Diffuse astrocytoma|2006-2010|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|39682297|Female|Diffuse astrocytoma|2007|~|~|~
0-19|0.0|0.1|0.0|Malignant|17|39682297|Female|Diffuse astrocytoma|2007|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|39875033|Female|Diffuse astrocytoma|2008|~|~|~
0-19|0.0|0.1|0.0|Malignant|19|39875033|Female|Diffuse astrocytoma|2008|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|39970215|Female|Diffuse astrocytoma|2009|~|~|~
0-19|0.0|0.1|0.0|Malignant|17|39970215|Female|Diffuse astrocytoma|2009|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|39544072|Female|Diffuse astrocytoma|2010|~|~|~
0-19|0.0|0.1|0.0|Malignant|18|39544072|Female|Diffuse astrocytoma|2010|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|38177564|Female|Embryonal/primitive/medulloblastoma|2004|~|~|~
0-19|0.5|0.6|0.5|Malignant|208|38177564|Female|Embryonal/primitive/medulloblastoma|2004|0.5|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|38305772|Female|Embryonal/primitive/medulloblastoma|2005|~|~|~
0-19|0.4|0.5|0.4|Malignant|171|38305772|Female|Embryonal/primitive/medulloblastoma|2005|0.4|0.5|0.4
0-19|~|~|~|Benign/Borderline|~|38466303|Female|Embryonal/primitive/medulloblastoma|2006|~|~|~
0-19|0.4|0.6|0.5|Malignant|196|38466303|Female|Embryonal/primitive/medulloblastoma|2006|0.4|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|191951502|Female|Embryonal/primitive/medulloblastoma|2006-2010|~|~|~
0-19|0.5|0.6|0.5|Malignant|986|191951502|Female|Embryonal/primitive/medulloblastoma|2006-2010|0.5|0.5|0.5
0-19|~|~|~|Benign/Borderline|~|39682297|Female|Embryonal/primitive/medulloblastoma|2007|~|~|~
0-19|0.5|0.6|0.6|Malignant|218|39682297|Female|Embryonal/primitive/medulloblastoma|2007|0.5|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|39875033|Female|Embryonal/primitive/medulloblastoma|2008|~|~|~
0-19|0.5|0.7|0.6|Malignant|229|39875033|Female|Embryonal/primitive/medulloblastoma|2008|0.5|0.7|0.6
0-19|~|~|~|Benign/Borderline|~|39970215|Female|Embryonal/primitive/medulloblastoma|2009|~|~|~
0-19|0.4|0.6|0.5|Malignant|197|39970215|Female|Embryonal/primitive/medulloblastoma|2009|0.4|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|39544072|Female|Embryonal/primitive/medulloblastoma|2010|~|~|~
0-19|0.4|0.5|0.4|Malignant|174|39544072|Female|Embryonal/primitive/medulloblastoma|2010|0.4|0.5|0.4
0-19|~|~|~|Benign/Borderline|~|38177564|Female|Ependymoma variants|2004|~|~|~
0-19|~|~|~|Malignant|~|38177564|Female|Ependymoma variants|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|38305772|Female|Ependymoma variants|2005|~|~|~
0-19|~|~|~|Malignant|~|38305772|Female|Ependymoma variants|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|38466303|Female|Ependymoma variants|2006|~|~|~
0-19|~|~|~|Malignant|~|38466303|Female|Ependymoma variants|2006|~|~|~
0-19|0.0|0.0|0.0|Benign/Borderline|55|191951502|Female|Ependymoma variants|2006-2010|0.0|0.0|0.0
0-19|~|~|~|Malignant|~|191951502|Female|Ependymoma variants|2006-2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|39682297|Female|Ependymoma variants|2007|~|~|~
0-19|~|~|~|Malignant|~|39682297|Female|Ependymoma variants|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|39875033|Female|Ependymoma variants|2008|~|~|~
0-19|~|~|~|Malignant|~|39875033|Female|Ependymoma variants|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|39970215|Female|Ependymoma variants|2009|~|~|~
0-19|~|~|~|Malignant|~|39970215|Female|Ependymoma variants|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|39544072|Female|Ependymoma variants|2010|~|~|~
0-19|~|~|~|Malignant|~|39544072|Female|Ependymoma variants|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|38177564|Female|Ependymoma/anaplastic ependymoma|2004|~|~|~
0-19|0.2|0.3|0.2|Malignant|92|38177564|Female|Ependymoma/anaplastic ependymoma|2004|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|38305772|Female|Ependymoma/anaplastic ependymoma|2005|~|~|~
0-19|0.2|0.3|0.3|Malignant|103|38305772|Female|Ependymoma/anaplastic ependymoma|2005|0.2|0.3|0.3
0-19|~|~|~|Benign/Borderline|~|38466303|Female|Ependymoma/anaplastic ependymoma|2006|~|~|~
0-19|0.2|0.3|0.2|Malignant|92|38466303|Female|Ependymoma/anaplastic ependymoma|2006|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|191951502|Female|Ependymoma/anaplastic ependymoma|2006-2010|~|~|~
0-19|0.2|0.2|0.2|Malignant|384|191951502|Female|Ependymoma/anaplastic ependymoma|2006-2010|0.2|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|39682297|Female|Ependymoma/anaplastic ependymoma|2007|~|~|~
0-19|0.1|0.2|0.2|Malignant|69|39682297|Female|Ependymoma/anaplastic ependymoma|2007|0.1|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|39875033|Female|Ependymoma/anaplastic ependymoma|2008|~|~|~
0-19|0.1|0.2|0.2|Malignant|75|39875033|Female|Ependymoma/anaplastic ependymoma|2008|0.1|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|39970215|Female|Ependymoma/anaplastic ependymoma|2009|~|~|~
0-19|0.2|0.2|0.2|Malignant|78|39970215|Female|Ependymoma/anaplastic ependymoma|2009|0.2|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|39544072|Female|Ependymoma/anaplastic ependymoma|2010|~|~|~
0-19|0.2|0.3|0.2|Malignant|84|39544072|Female|Ependymoma/anaplastic ependymoma|2010|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|38177564|Female|Germ Cell Tumors|2004|~|~|~
0-19|0.1|0.1|0.1|Malignant|39|38177564|Female|Germ Cell Tumors|2004|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|38305772|Female|Germ Cell Tumors|2005|~|~|~
0-19|0.1|0.2|0.1|Malignant|43|38305772|Female|Germ Cell Tumors|2005|0.1|0.2|0.1
0-19|~|~|~|Benign/Borderline|~|38466303|Female|Germ Cell Tumors|2006|~|~|~
0-19|0.0|0.1|0.1|Malignant|23|38466303|Female|Germ Cell Tumors|2006|0.0|0.1|0.1
0-19|0.0|0.1|0.0|Benign/Borderline|78|191951502|Female|Germ Cell Tumors|2006-2010|0.0|0.1|0.0
0-19|0.1|0.1|0.1|Malignant|167|191951502|Female|Germ Cell Tumors|2006-2010|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39682297|Female|Germ Cell Tumors|2007|~|~|~
0-19|0.1|0.1|0.1|Malignant|33|39682297|Female|Germ Cell Tumors|2007|0.1|0.1|0.1
0-19|0.0|0.1|0.0|Benign/Borderline|17|39875033|Female|Germ Cell Tumors|2008|0.0|0.1|0.0
0-19|0.0|0.1|0.1|Malignant|26|39875033|Female|Germ Cell Tumors|2008|0.0|0.1|0.1
0-19|0.0|0.1|0.1|Benign/Borderline|20|39970215|Female|Germ Cell Tumors|2009|0.0|0.1|0.1
0-19|0.1|0.1|0.1|Malignant|42|39970215|Female|Germ Cell Tumors|2009|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39544072|Female|Germ Cell Tumors|2010|~|~|~
0-19|0.1|0.2|0.1|Malignant|47|39544072|Female|Germ Cell Tumors|2010|0.1|0.2|0.1
0-19|~|~|~|Benign/Borderline|~|38177564|Female|Glioblastoma|2004|~|~|~
0-19|0.1|0.2|0.1|Malignant|52|38177564|Female|Glioblastoma|2004|0.1|0.2|0.1
0-19|~|~|~|Benign/Borderline|~|38305772|Female|Glioblastoma|2005|~|~|~
0-19|0.1|0.1|0.1|Malignant|38|38305772|Female|Glioblastoma|2005|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|38466303|Female|Glioblastoma|2006|~|~|~
0-19|0.1|0.1|0.1|Malignant|41|38466303|Female|Glioblastoma|2006|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|191951502|Female|Glioblastoma|2006-2010|~|~|~
0-19|0.1|0.1|0.1|Malignant|242|191951502|Female|Glioblastoma|2006-2010|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39682297|Female|Glioblastoma|2007|~|~|~
0-19|0.1|0.2|0.2|Malignant|60|39682297|Female|Glioblastoma|2007|0.1|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|39875033|Female|Glioblastoma|2008|~|~|~
0-19|0.1|0.2|0.2|Malignant|61|39875033|Female|Glioblastoma|2008|0.1|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|39970215|Female|Glioblastoma|2009|~|~|~
0-19|0.1|0.1|0.1|Malignant|38|39970215|Female|Glioblastoma|2009|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39544072|Female|Glioblastoma|2010|~|~|~
0-19|0.1|0.2|0.1|Malignant|51|39544072|Female|Glioblastoma|2010|0.1|0.2|0.1
0-19|~|~|~|Benign/Borderline|~|38177564|Female|Glioma malignant, NOS|2004|~|~|~
0-19|0.5|0.7|0.6|Malignant|225|38177564|Female|Glioma malignant, NOS|2004|0.5|0.7|0.6
0-19|~|~|~|Benign/Borderline|~|38305772|Female|Glioma malignant, NOS|2005|~|~|~
0-19|0.5|0.7|0.6|Malignant|222|38305772|Female|Glioma malignant, NOS|2005|0.5|0.7|0.6
0-19|~|~|~|Benign/Borderline|~|38466303|Female|Glioma malignant, NOS|2006|~|~|~
0-19|0.5|0.7|0.6|Malignant|234|38466303|Female|Glioma malignant, NOS|2006|0.5|0.7|0.6
0-19|0.0|0.0|0.0|Benign/Borderline|29|191951502|Female|Glioma malignant, NOS|2006-2010|0.0|0.0|0.0
0-19|0.6|0.7|0.6|Malignant|1206|191951502|Female|Glioma malignant, NOS|2006-2010|0.6|0.7|0.6
0-19|~|~|~|Benign/Borderline|~|39682297|Female|Glioma malignant, NOS|2007|~|~|~
0-19|0.6|0.7|0.6|Malignant|253|39682297|Female|Glioma malignant, NOS|2007|0.6|0.7|0.6
0-19|~|~|~|Benign/Borderline|~|39875033|Female|Glioma malignant, NOS|2008|~|~|~
0-19|0.6|0.7|0.6|Malignant|253|39875033|Female|Glioma malignant, NOS|2008|0.6|0.7|0.6
0-19|~|~|~|Benign/Borderline|~|39970215|Female|Glioma malignant, NOS|2009|~|~|~
0-19|0.6|0.8|0.7|Malignant|278|39970215|Female|Glioma malignant, NOS|2009|0.6|0.8|0.7
0-19|~|~|~|Benign/Borderline|~|39544072|Female|Glioma malignant, NOS|2010|~|~|~
0-19|0.5|0.6|0.6|Malignant|217|39544072|Female|Glioma malignant, NOS|2010|0.5|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|38177564|Female|Hemangioblastoma|2004|~|~|~
0-19|~|~|~|Malignant|~|38177564|Female|Hemangioblastoma|2004|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|16|38305772|Female|Hemangioblastoma|2005|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|38305772|Female|Hemangioblastoma|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|38466303|Female|Hemangioblastoma|2006|~|~|~
0-19|~|~|~|Malignant|~|38466303|Female|Hemangioblastoma|2006|~|~|~
0-19|0.0|0.0|0.0|Benign/Borderline|50|191951502|Female|Hemangioblastoma|2006-2010|0.0|0.0|0.0
0-19|~|~|~|Malignant|~|191951502|Female|Hemangioblastoma|2006-2010|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|17|39682297|Female|Hemangioblastoma|2007|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|39682297|Female|Hemangioblastoma|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|39875033|Female|Hemangioblastoma|2008|~|~|~
0-19|~|~|~|Malignant|~|39875033|Female|Hemangioblastoma|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|39970215|Female|Hemangioblastoma|2009|~|~|~
0-19|~|~|~|Malignant|~|39970215|Female|Hemangioblastoma|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|39544072|Female|Hemangioblastoma|2010|~|~|~
0-19|~|~|~|Malignant|~|39544072|Female|Hemangioblastoma|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|38177564|Female|Hemangioma|2004|~|~|~
0-19|~|~|~|Malignant|~|38177564|Female|Hemangioma|2004|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|22|38305772|Female|Hemangioma|2005|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|38305772|Female|Hemangioma|2005|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|24|38466303|Female|Hemangioma|2006|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|38466303|Female|Hemangioma|2006|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|160|191951502|Female|Hemangioma|2006-2010|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|191951502|Female|Hemangioma|2006-2010|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|23|39682297|Female|Hemangioma|2007|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|39682297|Female|Hemangioma|2007|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|38|39875033|Female|Hemangioma|2008|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|39875033|Female|Hemangioma|2008|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|42|39970215|Female|Hemangioma|2009|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|39970215|Female|Hemangioma|2009|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|35|39544072|Female|Hemangioma|2010|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|39544072|Female|Hemangioma|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|38177564|Female|Local Extensions from Regional Tumors|2004|~|~|~
0-19|~|~|~|Malignant|~|38177564|Female|Local Extensions from Regional Tumors|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|38305772|Female|Local Extensions from Regional Tumors|2005|~|~|~
0-19|~|~|~|Malignant|~|38305772|Female|Local Extensions from Regional Tumors|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|38466303|Female|Local Extensions from Regional Tumors|2006|~|~|~
0-19|~|~|~|Malignant|~|38466303|Female|Local Extensions from Regional Tumors|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|191951502|Female|Local Extensions from Regional Tumors|2006-2010|~|~|~
0-19|~|~|~|Malignant|~|191951502|Female|Local Extensions from Regional Tumors|2006-2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|39682297|Female|Local Extensions from Regional Tumors|2007|~|~|~
0-19|~|~|~|Malignant|~|39682297|Female|Local Extensions from Regional Tumors|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|39875033|Female|Local Extensions from Regional Tumors|2008|~|~|~
0-19|~|~|~|Malignant|~|39875033|Female|Local Extensions from Regional Tumors|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|39970215|Female|Local Extensions from Regional Tumors|2009|~|~|~
0-19|~|~|~|Malignant|~|39970215|Female|Local Extensions from Regional Tumors|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|39544072|Female|Local Extensions from Regional Tumors|2010|~|~|~
0-19|~|~|~|Malignant|~|39544072|Female|Local Extensions from Regional Tumors|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|38177564|Female|Lymphomas and Hematopoietic Neoplasms|2004|~|~|~
0-19|~|~|~|Malignant|~|38177564|Female|Lymphomas and Hematopoietic Neoplasms|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|38305772|Female|Lymphomas and Hematopoietic Neoplasms|2005|~|~|~
0-19|~|~|~|Malignant|~|38305772|Female|Lymphomas and Hematopoietic Neoplasms|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|38466303|Female|Lymphomas and Hematopoietic Neoplasms|2006|~|~|~
0-19|~|~|~|Malignant|~|38466303|Female|Lymphomas and Hematopoietic Neoplasms|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|191951502|Female|Lymphomas and Hematopoietic Neoplasms|2006-2010|~|~|~
0-19|0.0|0.0|0.0|Malignant|19|191951502|Female|Lymphomas and Hematopoietic Neoplasms|2006-2010|0.0|0.0|0.0
0-19|~|~|~|Benign/Borderline|~|39682297|Female|Lymphomas and Hematopoietic Neoplasms|2007|~|~|~
0-19|~|~|~|Malignant|~|39682297|Female|Lymphomas and Hematopoietic Neoplasms|2007|~|~|~
