AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
1-4|.|.|.|.|Mortality|15339782|Kaposi Sarcoma|1999
10-14|.|.|.|.|Mortality|20213364|Kaposi Sarcoma|1999
15-19|.|.|.|.|Mortality|20084602|Kaposi Sarcoma|1999
5-9|.|.|.|.|Mortality|20606460|Kaposi Sarcoma|1999
<1|.|.|.|.|Mortality|3795762|Kaposi Sarcoma|1999
1-4|~|~|~|~|Incidence|13297303|Kaposi Sarcoma|1999
10-14|~|~|~|~|Incidence|17507634|Kaposi Sarcoma|1999
15-19|~|~|~|~|Incidence|17355940|Kaposi Sarcoma|1999
5-9|~|~|~|~|Incidence|17879968|Kaposi Sarcoma|1999
<1|~|~|~|~|Incidence|3280395|Kaposi Sarcoma|1999
1-4|0.1|0.2|0.1|19|Mortality|15339782|Kidney and Renal Pelvis|1999
10-14|~|~|~|~|Mortality|20213364|Kidney and Renal Pelvis|1999
15-19|~|~|~|~|Mortality|20084602|Kidney and Renal Pelvis|1999
5-9|0.1|0.2|0.1|23|Mortality|20606460|Kidney and Renal Pelvis|1999
<1|~|~|~|~|Mortality|3795762|Kidney and Renal Pelvis|1999
1-4|1.6|2.1|1.9|249|Incidence|13297303|Kidney and Renal Pelvis|1999
10-14|0.1|0.2|0.1|23|Incidence|17507634|Kidney and Renal Pelvis|1999
15-19|0.1|0.2|0.1|26|Incidence|17355940|Kidney and Renal Pelvis|1999
5-9|0.4|0.6|0.5|93|Incidence|17879968|Kidney and Renal Pelvis|1999
<1|1.6|2.6|2.0|66|Incidence|3280395|Kidney and Renal Pelvis|1999
1-4|~|~|~|~|Mortality|15339782|Larynx|1999
10-14|~|~|~|~|Mortality|20213364|Larynx|1999
15-19|~|~|~|~|Mortality|20084602|Larynx|1999
5-9|~|~|~|~|Mortality|20606460|Larynx|1999
<1|~|~|~|~|Mortality|3795762|Larynx|1999
1-4|~|~|~|~|Incidence|13297303|Larynx|1999
10-14|~|~|~|~|Incidence|17507634|Larynx|1999
15-19|~|~|~|~|Incidence|17355940|Larynx|1999
5-9|~|~|~|~|Incidence|17879968|Larynx|1999
<1|~|~|~|~|Incidence|3280395|Larynx|1999
1-4|0.6|0.9|0.8|119|Mortality|15339782|Leukemias|1999
10-14|0.7|1.0|0.9|175|Mortality|20213364|Leukemias|1999
15-19|1.0|1.3|1.1|221|Mortality|20084602|Leukemias|1999
5-9|0.5|0.7|0.6|130|Mortality|20606460|Leukemias|1999
<1|0.5|1.0|0.7|27|Mortality|3795762|Leukemias|1999
1-4|7.7|8.7|8.2|1092|Incidence|13297303|Leukemias|1999
10-14|2.6|3.2|2.9|507|Incidence|17507634|Leukemias|1999
15-19|2.5|3.0|2.7|469|Incidence|17355940|Leukemias|1999
5-9|3.5|4.1|3.8|675|Incidence|17879968|Leukemias|1999
<1|4.0|5.5|4.7|153|Incidence|3280395|Leukemias|1999
1-4|0.1|0.3|0.2|29|Mortality|15339782|Liver and Intrahepatic Bile Duct|1999
10-14|~|~|~|~|Mortality|20213364|Liver and Intrahepatic Bile Duct|1999
15-19|0.1|0.1|0.1|19|Mortality|20084602|Liver and Intrahepatic Bile Duct|1999
5-9|~|~|~|~|Mortality|20606460|Liver and Intrahepatic Bile Duct|1999
<1|~|~|~|~|Mortality|3795762|Liver and Intrahepatic Bile Duct|1999
1-4|0.4|0.6|0.5|61|Incidence|13297303|Liver and Intrahepatic Bile Duct|1999
10-14|0.1|0.2|0.1|18|Incidence|17507634|Liver and Intrahepatic Bile Duct|1999
15-19|0.1|0.3|0.2|31|Incidence|17355940|Liver and Intrahepatic Bile Duct|1999
5-9|~|~|~|~|Incidence|17879968|Liver and Intrahepatic Bile Duct|1999
<1|0.7|1.4|1.0|33|Incidence|3280395|Liver and Intrahepatic Bile Duct|1999
1-4|~|~|~|~|Mortality|15339782|Lung and Bronchus|1999
10-14|~|~|~|~|Mortality|20213364|Lung and Bronchus|1999
15-19|~|~|~|~|Mortality|20084602|Lung and Bronchus|1999
5-9|~|~|~|~|Mortality|20606460|Lung and Bronchus|1999
<1|~|~|~|~|Mortality|3795762|Lung and Bronchus|1999
1-4|~|~|~|~|Incidence|13297303|Lung and Bronchus|1999
10-14|~|~|~|~|Incidence|17507634|Lung and Bronchus|1999
15-19|0.1|0.2|0.1|25|Incidence|17355940|Lung and Bronchus|1999
5-9|~|~|~|~|Incidence|17879968|Lung and Bronchus|1999
<1|~|~|~|~|Incidence|3280395|Lung and Bronchus|1999
1-4|~|~|~|~|Mortality|7493614|Male and Female Breast|1999
10-14|~|~|~|~|Mortality|9855664|Male and Female Breast|1999
15-19|~|~|~|~|Mortality|9761569|Male and Female Breast|1999
5-9|~|~|~|~|Mortality|10052618|Male and Female Breast|1999
<1|~|~|~|~|Mortality|1852123|Male and Female Breast|1999
1-4|~|~|~|~|Incidence|6496024|Male and Female Breast|1999
10-14|~|~|~|~|Incidence|8535050|Male and Female Breast|1999
15-19|~|~|~|~|Incidence|8430546|Male and Female Breast|1999
5-9|~|~|~|~|Incidence|8723247|Male and Female Breast|1999
<1|~|~|~|~|Incidence|1600564|Male and Female Breast|1999
1-4|~|~|~|~|Incidence|6496024|Male and Female Breast, <i>in situ</i>|1999
10-14|~|~|~|~|Incidence|8535050|Male and Female Breast, <i>in situ</i>|1999
15-19|~|~|~|~|Incidence|8430546|Male and Female Breast, <i>in situ</i>|1999
5-9|~|~|~|~|Incidence|8723247|Male and Female Breast, <i>in situ</i>|1999
<1|~|~|~|~|Incidence|1600564|Male and Female Breast, <i>in situ</i>|1999
1-4|~|~|~|~|Mortality|15339782|Melanomas of the Skin|1999
10-14|~|~|~|~|Mortality|20213364|Melanomas of the Skin|1999
15-19|~|~|~|~|Mortality|20084602|Melanomas of the Skin|1999
5-9|~|~|~|~|Mortality|20606460|Melanomas of the Skin|1999
<1|~|~|~|~|Mortality|3795762|Melanomas of the Skin|1999
1-4|~|~|~|~|Incidence|13297303|Melanomas of the Skin|1999
10-14|0.3|0.4|0.3|59|Incidence|17507634|Melanomas of the Skin|1999
15-19|1.2|1.6|1.4|238|Incidence|17355940|Melanomas of the Skin|1999
5-9|~|~|~|~|Incidence|17879968|Melanomas of the Skin|1999
<1|~|~|~|~|Incidence|3280395|Melanomas of the Skin|1999
1-4|~|~|~|~|Mortality|15339782|Mesothelioma|1999
10-14|~|~|~|~|Mortality|20213364|Mesothelioma|1999
15-19|~|~|~|~|Mortality|20084602|Mesothelioma|1999
5-9|~|~|~|~|Mortality|20606460|Mesothelioma|1999
<1|~|~|~|~|Mortality|3795762|Mesothelioma|1999
1-4|~|~|~|~|Incidence|13297303|Mesothelioma|1999
10-14|~|~|~|~|Incidence|17507634|Mesothelioma|1999
15-19|~|~|~|~|Incidence|17355940|Mesothelioma|1999
5-9|~|~|~|~|Incidence|17879968|Mesothelioma|1999
<1|~|~|~|~|Incidence|3280395|Mesothelioma|1999
1-4|~|~|~|~|Mortality|15339782|Myeloma|1999
10-14|~|~|~|~|Mortality|20213364|Myeloma|1999
15-19|~|~|~|~|Mortality|20084602|Myeloma|1999
5-9|~|~|~|~|Mortality|20606460|Myeloma|1999
<1|~|~|~|~|Mortality|3795762|Myeloma|1999
1-4|~|~|~|~|Incidence|13297303|Myeloma|1999
10-14|~|~|~|~|Incidence|17507634|Myeloma|1999
15-19|~|~|~|~|Incidence|17355940|Myeloma|1999
5-9|~|~|~|~|Incidence|17879968|Myeloma|1999
<1|~|~|~|~|Incidence|3280395|Myeloma|1999
1-4|0.1|0.2|0.1|16|Mortality|15339782|Non-Hodgkin Lymphoma|1999
10-14|0.1|0.2|0.1|25|Mortality|20213364|Non-Hodgkin Lymphoma|1999
15-19|0.2|0.3|0.3|51|Mortality|20084602|Non-Hodgkin Lymphoma|1999
5-9|~|~|~|~|Mortality|20606460|Non-Hodgkin Lymphoma|1999
<1|~|~|~|~|Mortality|3795762|Non-Hodgkin Lymphoma|1999
1-4|0.6|0.9|0.7|97|Incidence|13297303|Non-Hodgkin Lymphoma|1999
10-14|1.0|1.4|1.2|211|Incidence|17507634|Non-Hodgkin Lymphoma|1999
15-19|1.4|1.8|1.6|277|Incidence|17355940|Non-Hodgkin Lymphoma|1999
5-9|0.7|1.0|0.9|155|Incidence|17879968|Non-Hodgkin Lymphoma|1999
<1|~|~|~|~|Incidence|3280395|Non-Hodgkin Lymphoma|1999
1-4|~|~|~|~|Mortality|15339782|Oral Cavity and Pharynx|1999
10-14|~|~|~|~|Mortality|20213364|Oral Cavity and Pharynx|1999
15-19|~|~|~|~|Mortality|20084602|Oral Cavity and Pharynx|1999
5-9|~|~|~|~|Mortality|20606460|Oral Cavity and Pharynx|1999
<1|~|~|~|~|Mortality|3795762|Oral Cavity and Pharynx|1999
1-4|~|~|~|~|Incidence|13297303|Oral Cavity and Pharynx|1999
10-14|0.2|0.4|0.3|50|Incidence|17507634|Oral Cavity and Pharynx|1999
15-19|0.3|0.5|0.4|65|Incidence|17355940|Oral Cavity and Pharynx|1999
5-9|~|~|~|~|Incidence|17879968|Oral Cavity and Pharynx|1999
<1|~|~|~|~|Incidence|3280395|Oral Cavity and Pharynx|1999
1-4|~|~|~|~|Mortality|7493614|Ovary|1999
10-14|~|~|~|~|Mortality|9855664|Ovary|1999
15-19|~|~|~|~|Mortality|9761569|Ovary|1999
5-9|~|~|~|~|Mortality|10052618|Ovary|1999
<1|~|~|~|~|Mortality|1852123|Ovary|1999
1-4|~|~|~|~|Incidence|6496024|Ovary|1999
10-14|0.5|0.9|0.7|56|Incidence|8535050|Ovary|1999
15-19|1.1|1.7|1.4|116|Incidence|8430546|Ovary|1999
5-9|~|~|~|~|Incidence|8723247|Ovary|1999
<1|~|~|~|~|Incidence|1600564|Ovary|1999
1-4|~|~|~|~|Mortality|15339782|Pancreas|1999
10-14|~|~|~|~|Mortality|20213364|Pancreas|1999
15-19|~|~|~|~|Mortality|20084602|Pancreas|1999
5-9|~|~|~|~|Mortality|20606460|Pancreas|1999
<1|~|~|~|~|Mortality|3795762|Pancreas|1999
1-4|~|~|~|~|Incidence|13297303|Pancreas|1999
10-14|~|~|~|~|Incidence|17507634|Pancreas|1999
15-19|~|~|~|~|Incidence|17355940|Pancreas|1999
5-9|~|~|~|~|Incidence|17879968|Pancreas|1999
<1|~|~|~|~|Incidence|3280395|Pancreas|1999
1-4|~|~|~|~|Mortality|7846168|Prostate|1999
10-14|~|~|~|~|Mortality|10357700|Prostate|1999
15-19|~|~|~|~|Mortality|10323033|Prostate|1999
5-9|~|~|~|~|Mortality|10553842|Prostate|1999
<1|~|~|~|~|Mortality|1943639|Prostate|1999
1-4|~|~|~|~|Incidence|6801279|Prostate|1999
10-14|~|~|~|~|Incidence|8972584|Prostate|1999
15-19|~|~|~|~|Incidence|8925394|Prostate|1999
5-9|~|~|~|~|Incidence|9156721|Prostate|1999
<1|~|~|~|~|Incidence|1679831|Prostate|1999
1-4|~|~|~|~|Mortality|15339782|Stomach|1999
10-14|~|~|~|~|Mortality|20213364|Stomach|1999
15-19|~|~|~|~|Mortality|20084602|Stomach|1999
5-9|~|~|~|~|Mortality|20606460|Stomach|1999
<1|~|~|~|~|Mortality|3795762|Stomach|1999
1-4|~|~|~|~|Incidence|13297303|Stomach|1999
10-14|~|~|~|~|Incidence|17507634|Stomach|1999
15-19|~|~|~|~|Incidence|17355940|Stomach|1999
5-9|~|~|~|~|Incidence|17879968|Stomach|1999
<1|~|~|~|~|Incidence|3280395|Stomach|1999
1-4|~|~|~|~|Mortality|7846168|Testis|1999
10-14|~|~|~|~|Mortality|10357700|Testis|1999
15-19|~|~|~|~|Mortality|10323033|Testis|1999
5-9|~|~|~|~|Mortality|10553842|Testis|1999
<1|~|~|~|~|Mortality|1943639|Testis|1999
1-4|0.2|0.5|0.4|24|Incidence|6801279|Testis|1999
10-14|~|~|~|~|Incidence|8972584|Testis|1999
15-19|3.0|3.8|3.3|299|Incidence|8925394|Testis|1999
5-9|~|~|~|~|Incidence|9156721|Testis|1999
<1|0.7|1.8|1.2|20|Incidence|1679831|Testis|1999
1-4|~|~|~|~|Mortality|15339782|Thyroid|1999
10-14|~|~|~|~|Mortality|20213364|Thyroid|1999
15-19|~|~|~|~|Mortality|20084602|Thyroid|1999
5-9|~|~|~|~|Mortality|20606460|Thyroid|1999
<1|~|~|~|~|Mortality|3795762|Thyroid|1999
1-4|~|~|~|~|Incidence|13297303|Thyroid|1999
10-14|0.3|0.5|0.4|66|Incidence|17507634|Thyroid|1999
15-19|1.6|2.0|1.8|310|Incidence|17355940|Thyroid|1999
5-9|0.1|0.2|0.2|29|Incidence|17879968|Thyroid|1999
<1|~|~|~|~|Incidence|3280395|Thyroid|1999
1-4|~|~|~|~|Mortality|15339782|Urinary Bladder|1999
10-14|~|~|~|~|Mortality|20213364|Urinary Bladder|1999
15-19|~|~|~|~|Mortality|20084602|Urinary Bladder|1999
5-9|~|~|~|~|Mortality|20606460|Urinary Bladder|1999
<1|~|~|~|~|Mortality|3795762|Urinary Bladder|1999
1-4|~|~|~|~|Incidence|13297303|Urinary Bladder|1999
10-14|~|~|~|~|Incidence|17507634|Urinary Bladder|1999
15-19|0.1|0.2|0.1|18|Incidence|17355940|Urinary Bladder|1999
5-9|~|~|~|~|Incidence|17879968|Urinary Bladder|1999
<1|~|~|~|~|Incidence|3280395|Urinary Bladder|1999
1-4|2.5|3.0|2.7|420|Mortality|15322337|All Cancer Sites Combined|2000
10-14|2.3|2.8|2.5|525|Mortality|20637696|All Cancer Sites Combined|2000
15-19|3.4|3.9|3.7|745|Mortality|20294955|All Cancer Sites Combined|2000
5-9|2.2|2.6|2.4|489|Mortality|20463852|All Cancer Sites Combined|2000
<1|1.9|2.9|2.4|92|Mortality|3855956|All Cancer Sites Combined|2000
1-4|19.8|21.3|20.5|2793|Incidence|13615288|All Cancer Sites Combined|2000
10-14|11.9|12.9|12.4|2271|Incidence|18336708|All Cancer Sites Combined|2000
15-19|20.0|21.3|20.6|3712|Incidence|17999090|All Cancer Sites Combined|2000
5-9|11.1|12.1|11.6|2115|Incidence|18205547|All Cancer Sites Combined|2000
<1|22.2|25.5|23.8|813|Incidence|3420047|All Cancer Sites Combined|2000
1-4|0.6|0.8|0.7|104|Mortality|15322337|Brain and Other Nervous System|2000
10-14|0.6|0.9|0.7|150|Mortality|20637696|Brain and Other Nervous System|2000
15-19|0.4|0.6|0.5|105|Mortality|20294955|Brain and Other Nervous System|2000
5-9|0.7|0.9|0.8|166|Mortality|20463852|Brain and Other Nervous System|2000
<1|0.3|0.8|0.5|20|Mortality|3855956|Brain and Other Nervous System|2000
1-4|3.7|4.4|4.1|553|Incidence|13615288|Brain and Other Nervous System|2000
10-14|2.5|3.0|2.8|506|Incidence|18336708|Brain and Other Nervous System|2000
15-19|2.0|2.4|2.2|399|Incidence|17999090|Brain and Other Nervous System|2000
5-9|3.2|3.7|3.4|625|Incidence|18205547|Brain and Other Nervous System|2000
<1|3.4|4.7|4.0|137|Incidence|3420047|Brain and Other Nervous System|2000
1-4|~|~|~|~|Mortality|7485852|Cervix|2000
10-14|~|~|~|~|Mortality|10063054|Cervix|2000
15-19|~|~|~|~|Mortality|9854932|Cervix|2000
5-9|~|~|~|~|Mortality|9984495|Cervix|2000
<1|~|~|~|~|Mortality|1881822|Cervix|2000
1-4|~|~|~|~|Incidence|6652363|Cervix|2000
10-14|~|~|~|~|Incidence|8939084|Cervix|2000
15-19|0.2|0.4|0.3|22|Incidence|8737817|Cervix|2000
5-9|~|~|~|~|Incidence|8883236|Cervix|2000
<1|~|~|~|~|Incidence|1668985|Cervix|2000
1-4|~|~|~|~|Mortality|15322337|Colon and Rectum|2000
10-14|~|~|~|~|Mortality|20637696|Colon and Rectum|2000
15-19|~|~|~|~|Mortality|20294955|Colon and Rectum|2000
5-9|~|~|~|~|Mortality|20463852|Colon and Rectum|2000
<1|~|~|~|~|Mortality|3855956|Colon and Rectum|2000
1-4|~|~|~|~|Incidence|13615288|Colon and Rectum|2000
10-14|~|~|~|~|Incidence|18336708|Colon and Rectum|2000
15-19|0.2|0.3|0.3|46|Incidence|17999090|Colon and Rectum|2000
5-9|~|~|~|~|Incidence|18205547|Colon and Rectum|2000
<1|~|~|~|~|Incidence|3420047|Colon and Rectum|2000
1-4|~|~|~|~|Mortality|7485852|Corpus and Uterus, NOS|2000
10-14|~|~|~|~|Mortality|10063054|Corpus and Uterus, NOS|2000
15-19|~|~|~|~|Mortality|9854932|Corpus and Uterus, NOS|2000
5-9|~|~|~|~|Mortality|9984495|Corpus and Uterus, NOS|2000
<1|~|~|~|~|Mortality|1881822|Corpus and Uterus, NOS|2000
1-4|~|~|~|~|Incidence|6652363|Corpus and Uterus, NOS|2000
10-14|~|~|~|~|Incidence|8939084|Corpus and Uterus, NOS|2000
15-19|~|~|~|~|Incidence|8737817|Corpus and Uterus, NOS|2000
5-9|~|~|~|~|Incidence|8883236|Corpus and Uterus, NOS|2000
<1|~|~|~|~|Incidence|1668985|Corpus and Uterus, NOS|2000
1-4|~|~|~|~|Mortality|15322337|Esophagus|2000
10-14|~|~|~|~|Mortality|20637696|Esophagus|2000
15-19|~|~|~|~|Mortality|20294955|Esophagus|2000
5-9|~|~|~|~|Mortality|20463852|Esophagus|2000
<1|~|~|~|~|Mortality|3855956|Esophagus|2000
1-4|~|~|~|~|Incidence|13615288|Esophagus|2000
10-14|~|~|~|~|Incidence|18336708|Esophagus|2000
15-19|~|~|~|~|Incidence|17999090|Esophagus|2000
5-9|~|~|~|~|Incidence|18205547|Esophagus|2000
<1|~|~|~|~|Incidence|3420047|Esophagus|2000
1-4|~|~|~|~|Mortality|7485852|Female Breast|2000
10-14|~|~|~|~|Mortality|10063054|Female Breast|2000
15-19|~|~|~|~|Mortality|9854932|Female Breast|2000
5-9|~|~|~|~|Mortality|9984495|Female Breast|2000
<1|~|~|~|~|Mortality|1881822|Female Breast|2000
1-4|~|~|~|~|Incidence|6652363|Female Breast|2000
10-14|~|~|~|~|Incidence|8939084|Female Breast|2000
15-19|~|~|~|~|Incidence|8737817|Female Breast|2000
5-9|~|~|~|~|Incidence|8883236|Female Breast|2000
<1|~|~|~|~|Incidence|1668985|Female Breast|2000
1-4|~|~|~|~|Incidence|6652363|Female Breast, <i>in situ</i>|2000
10-14|~|~|~|~|Incidence|8939084|Female Breast, <i>in situ</i>|2000
15-19|~|~|~|~|Incidence|8737817|Female Breast, <i>in situ</i>|2000
5-9|~|~|~|~|Incidence|8883236|Female Breast, <i>in situ</i>|2000
<1|~|~|~|~|Incidence|1668985|Female Breast, <i>in situ</i>|2000
1-4|~|~|~|~|Mortality|15322337|Hodgkin Lymphoma|2000
10-14|~|~|~|~|Mortality|20637696|Hodgkin Lymphoma|2000
15-19|0.1|0.2|0.1|21|Mortality|20294955|Hodgkin Lymphoma|2000
5-9|~|~|~|~|Mortality|20463852|Hodgkin Lymphoma|2000
<1|~|~|~|~|Mortality|3855956|Hodgkin Lymphoma|2000
1-4|0.1|0.2|0.1|16|Incidence|13615288|Hodgkin Lymphoma|2000
10-14|1.1|1.5|1.3|234|Incidence|18336708|Hodgkin Lymphoma|2000
15-19|2.9|3.4|3.1|566|Incidence|17999090|Hodgkin Lymphoma|2000
5-9|0.3|0.5|0.4|68|Incidence|18205547|Hodgkin Lymphoma|2000
<1|~|~|~|~|Incidence|3420047|Hodgkin Lymphoma|2000
1-4|.|.|.|.|Mortality|15322337|Kaposi Sarcoma|2000
10-14|.|.|.|.|Mortality|20637696|Kaposi Sarcoma|2000
15-19|.|.|.|.|Mortality|20294955|Kaposi Sarcoma|2000
5-9|.|.|.|.|Mortality|20463852|Kaposi Sarcoma|2000
<1|.|.|.|.|Mortality|3855956|Kaposi Sarcoma|2000
1-4|~|~|~|~|Incidence|13615288|Kaposi Sarcoma|2000
10-14|~|~|~|~|Incidence|18336708|Kaposi Sarcoma|2000
15-19|~|~|~|~|Incidence|17999090|Kaposi Sarcoma|2000
5-9|~|~|~|~|Incidence|18205547|Kaposi Sarcoma|2000
<1|~|~|~|~|Incidence|3420047|Kaposi Sarcoma|2000
1-4|~|~|~|~|Mortality|15322337|Kidney and Renal Pelvis|2000
10-14|~|~|~|~|Mortality|20637696|Kidney and Renal Pelvis|2000
15-19|~|~|~|~|Mortality|20294955|Kidney and Renal Pelvis|2000
5-9|0.1|0.2|0.1|21|Mortality|20463852|Kidney and Renal Pelvis|2000
<1|~|~|~|~|Mortality|3855956|Kidney and Renal Pelvis|2000
1-4|1.9|2.4|2.1|289|Incidence|13615288|Kidney and Renal Pelvis|2000
10-14|0.1|0.2|0.1|21|Incidence|18336708|Kidney and Renal Pelvis|2000
15-19|0.1|0.2|0.1|24|Incidence|17999090|Kidney and Renal Pelvis|2000
5-9|0.5|0.7|0.6|113|Incidence|18205547|Kidney and Renal Pelvis|2000
<1|1.2|2.0|1.5|53|Incidence|3420047|Kidney and Renal Pelvis|2000
1-4|~|~|~|~|Mortality|15322337|Larynx|2000
10-14|~|~|~|~|Mortality|20637696|Larynx|2000
15-19|~|~|~|~|Mortality|20294955|Larynx|2000
5-9|~|~|~|~|Mortality|20463852|Larynx|2000
<1|~|~|~|~|Mortality|3855956|Larynx|2000
1-4|~|~|~|~|Incidence|13615288|Larynx|2000
10-14|~|~|~|~|Incidence|18336708|Larynx|2000
15-19|~|~|~|~|Incidence|17999090|Larynx|2000
5-9|~|~|~|~|Incidence|18205547|Larynx|2000
<1|~|~|~|~|Incidence|3420047|Larynx|2000
1-4|0.8|1.1|0.9|137|Mortality|15322337|Leukemias|2000
10-14|0.7|1.0|0.8|173|Mortality|20637696|Leukemias|2000
15-19|1.0|1.4|1.2|242|Mortality|20294955|Leukemias|2000
5-9|0.6|0.8|0.7|142|Mortality|20463852|Leukemias|2000
<1|0.7|1.4|1.0|38|Mortality|3855956|Leukemias|2000
1-4|7.9|8.9|8.4|1144|Incidence|13615288|Leukemias|2000
10-14|2.3|2.7|2.5|457|Incidence|18336708|Leukemias|2000
15-19|2.5|3.0|2.7|493|Incidence|17999090|Leukemias|2000
5-9|3.5|4.1|3.8|695|Incidence|18205547|Leukemias|2000
<1|4.0|5.5|4.7|162|Incidence|3420047|Leukemias|2000
1-4|0.1|0.2|0.2|23|Mortality|15322337|Liver and Intrahepatic Bile Duct|2000
10-14|~|~|~|~|Mortality|20637696|Liver and Intrahepatic Bile Duct|2000
15-19|~|~|~|~|Mortality|20294955|Liver and Intrahepatic Bile Duct|2000
5-9|~|~|~|~|Mortality|20463852|Liver and Intrahepatic Bile Duct|2000
<1|~|~|~|~|Mortality|3855956|Liver and Intrahepatic Bile Duct|2000
1-4|0.4|0.6|0.5|65|Incidence|13615288|Liver and Intrahepatic Bile Duct|2000
10-14|0.1|0.2|0.1|20|Incidence|18336708|Liver and Intrahepatic Bile Duct|2000
15-19|0.1|0.1|0.1|16|Incidence|17999090|Liver and Intrahepatic Bile Duct|2000
5-9|~|~|~|~|Incidence|18205547|Liver and Intrahepatic Bile Duct|2000
<1|0.8|1.6|1.2|40|Incidence|3420047|Liver and Intrahepatic Bile Duct|2000
1-4|~|~|~|~|Mortality|15322337|Lung and Bronchus|2000
10-14|~|~|~|~|Mortality|20637696|Lung and Bronchus|2000
15-19|~|~|~|~|Mortality|20294955|Lung and Bronchus|2000
5-9|~|~|~|~|Mortality|20463852|Lung and Bronchus|2000
<1|~|~|~|~|Mortality|3855956|Lung and Bronchus|2000
1-4|~|~|~|~|Incidence|13615288|Lung and Bronchus|2000
10-14|~|~|~|~|Incidence|18336708|Lung and Bronchus|2000
15-19|0.1|0.2|0.2|27|Incidence|17999090|Lung and Bronchus|2000
