AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
0-19|3.4|4.4|3.9|269|IX(d) Other specified soft tissue sarcomas|69321240|1999
0-14|0.7|1.2|0.9|49|IX(e) Unspecified soft tissue sarcomas|51965300|1999
0-19|1.0|1.5|1.2|84|IX(e) Unspecified soft tissue sarcomas|69321240|1999
0-14|0.2|0.5|0.3|16|Not classified by ICCC|51965300|1999
0-19|0.2|0.5|0.3|21|Not classified by ICCC|69321240|1999
0-14|3.8|5.0|4.4|224|V Retinoblastoma|51965300|1999
0-19|2.9|3.7|3.3|225|V Retinoblastoma|69321240|1999
0-14|7.3|8.8|8.0|415|VI Renal tumors|51965300|1999
0-19|5.8|7.0|6.4|440|VI Renal tumors|69321240|1999
0-14|6.8|8.3|7.5|389|VI(a) Nephroblastoma and other nonepithelial renal tumors|51965300|1999
0-19|5.2|6.3|5.7|397|VI(a) Nephroblastoma and other nonepithelial renal tumors|69321240|1999
0-14|0.3|0.7|0.4|23|VI(b) Renal carcinomas|51965300|1999
0-19|0.4|0.8|0.6|39|VI(b) Renal carcinomas|69321240|1999
0-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|51965300|1999
0-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|69321240|1999
0-14|1.7|2.5|2.1|107|VII Hepatic tumors|51965300|1999
0-19|1.6|2.3|2.0|135|VII Hepatic tumors|69321240|1999
0-14|1.3|2.1|1.7|86|VII(a) Hepatoblastoma|51965300|1999
0-19|1.0|1.5|1.3|86|VII(a) Hepatoblastoma|69321240|1999
0-14|0.3|0.6|0.4|21|VII(b) Hepatic carcinomas|51965300|1999
0-19|0.5|0.9|0.7|48|VII(b) Hepatic carcinomas|69321240|1999
0-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|51965300|1999
0-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|69321240|1999
0-14|6.6|8.0|7.3|377|VIII Malignant bone tumors|51965300|1999
0-19|8.2|9.7|8.9|618|VIII Malignant bone tumors|69321240|1999
0-14|3.6|4.8|4.2|216|VIII(a) Osteosarcomas|51965300|1999
0-19|4.6|5.7|5.1|353|VIII(a) Osteosarcomas|69321240|1999
0-14|~|~|~|~|VIII(b) Chondrosarcomas|51965300|1999
0-19|0.2|0.6|0.4|26|VIII(b) Chondrosarcomas|69321240|1999
0-14|2.1|3.0|2.5|129|VIII(c) Ewing tumor and related sarcomas of bone|51965300|1999
0-19|2.4|3.2|2.8|195|VIII(c) Ewing tumor and related sarcomas of bone|69321240|1999
0-14|~|~|~|~|VIII(d) Other specified malignant bone tumors|51965300|1999
0-19|0.3|0.7|0.5|32|VIII(d) Other specified malignant bone tumors|69321240|1999
0-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|51965300|1999
0-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|69321240|1999
0-14|4.4|5.6|4.9|255|X Germ cell, trophoblastic tumors & neoplasms of gonads|51965300|1999
0-19|9.5|11.0|10.2|706|X Germ cell, trophoblastic tumors & neoplasms of gonads|69321240|1999
0-14|1.0|1.6|1.3|67|X(a) Intracranial & intraspinal germ cell tumors|51965300|1999
0-19|1.1|1.7|1.4|95|X(a) Intracranial & intraspinal germ cell tumors|69321240|1999
0-14|1.0|1.7|1.3|69|X(b) Malignant extracranial & extragonadal germ cell tumors|51965300|1999
0-19|1.1|1.7|1.4|94|X(b) Malignant extracranial & extragonadal germ cell tumors|69321240|1999
0-14|1.7|2.5|2.1|107|X(c) Malignant gonadal germ cell tumors|51965300|1999
0-19|6.2|7.5|6.8|470|X(c) Malignant gonadal germ cell tumors|69321240|1999
0-14|~|~|~|~|X(d) Gonadal carcinomas|51965300|1999
0-19|0.3|0.6|0.4|30|X(d) Gonadal carcinomas|69321240|1999
0-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|51965300|1999
0-19|0.1|0.4|0.2|17|X(e) Other and unspecified malignant gonadal tumors|69321240|1999
0-14|5.3|6.6|5.9|307|XI Other malignant epithelial neoplasms and malignant melanomas|51965300|1999
0-19|14.7|16.5|15.6|1075|XI Other malignant epithelial neoplasms and malignant melanomas|69321240|1999
0-14|~|~|~|~|XI(a) Adrenocortical carcinomas|51965300|1999
0-19|0.1|0.4|0.2|17|XI(a) Adrenocortical carcinomas|69321240|1999
0-14|1.6|2.3|1.9|99|XI(b) Thyroid carcinomas|51965300|1999
0-19|5.3|6.5|5.9|408|XI(b) Thyroid carcinomas|69321240|1999
0-14|0.2|0.6|0.4|19|XI(c) Nasopharyngeal carcinomas|51965300|1999
0-19|0.4|0.7|0.5|37|XI(c) Nasopharyngeal carcinomas|69321240|1999
0-14|1.5|2.2|1.8|94|XI(d) Malignant melanomas|51965300|1999
0-19|4.4|5.5|4.9|340|XI(d) Malignant melanomas|69321240|1999
0-14|~|~|~|~|XI(e) Skin carcinomas|51965300|1999
0-19|~|~|~|~|XI(e) Skin carcinomas|69321240|1999
0-14|1.2|1.9|1.5|79|XI(f) Other and unspecified carcinomas|51965300|1999
0-19|3.4|4.4|3.9|267|XI(f) Other and unspecified carcinomas|69321240|1999
0-14|0.3|0.8|0.5|27|XII Other and unspecified malignant neoplasms|51965300|1999
0-19|0.6|1.1|0.8|58|XII Other and unspecified malignant neoplasms|69321240|1999
0-14|~|~|~|~|XII(a) Other specified malignant tumors|51965300|1999
0-19|0.1|0.4|0.2|16|XII(a) Other specified malignant tumors|69321240|1999
0-14|0.2|0.5|0.3|16|XII(b) Other unspecified malignant tumors|51965300|1999
0-19|0.4|0.8|0.6|42|XII(b) Other unspecified malignant tumors|69321240|1999
0-14|146.3|152.8|149.5|7992|All ICCC Groups Combined|53577590|2000
0-19|160.8|166.8|163.8|11704|All ICCC Groups Combined|71576680|2000
0-14|44.3|47.9|46.1|2459|I Leukemias, myeloproliferative & myelodysplastic diseases|53577590|2000
0-19|39.9|42.9|41.4|2954|I Leukemias, myeloproliferative & myelodysplastic diseases|71576680|2000
0-14|35.5|38.8|37.1|1979|I(a) Lymphoid leukemias|53577590|2000
0-19|30.5|33.2|31.8|2270|I(a) Lymphoid leukemias|71576680|2000
0-14|6.0|7.4|6.7|356|I(b) Acute myeloid leukemias|53577590|2000
0-19|6.5|7.8|7.2|511|I(b) Acute myeloid leukemias|71576680|2000
0-14|0.5|1.0|0.8|41|I(c) Chronic myeloproliferative diseases|53577590|2000
0-19|0.7|1.2|0.9|65|I(c) Chronic myeloproliferative diseases|71576680|2000
0-14|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|53577590|2000
0-19|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|71576680|2000
0-14|1.1|1.7|1.4|74|I(e) Unspecified and other specified leukemias|53577590|2000
0-19|1.1|1.7|1.4|97|I(e) Unspecified and other specified leukemias|71576680|2000
0-14|15.4|17.5|16.4|882|II Lymphomas and reticuloendothelial neoplasms|53577590|2000
0-19|23.6|25.9|24.8|1774|II Lymphomas and reticuloendothelial neoplasms|71576680|2000
0-14|5.3|6.6|5.9|320|II(a) Hodgkin lymphomas|53577590|2000
0-19|11.6|13.2|12.4|886|II(a) Hodgkin lymphomas|71576680|2000
0-14|5.3|6.6|5.9|318|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|53577590|2000
0-19|7.5|8.8|8.1|583|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|71576680|2000
0-14|2.3|3.2|2.7|144|II(c) Burkitt lymphoma|53577590|2000
0-19|2.3|3.0|2.6|188|II(c) Burkitt lymphoma|71576680|2000
0-14|0.9|1.5|1.2|64|II(d) Miscellaneous lymphoreticular neoplasms|53577590|2000
0-19|0.7|1.2|0.9|67|II(d) Miscellaneous lymphoreticular neoplasms|71576680|2000
0-14|0.5|0.9|0.7|36|II(e) Unspecified lymphomas|53577590|2000
0-19|0.5|0.9|0.7|50|II(e) Unspecified lymphomas|71576680|2000
0-14|31.3|34.4|32.9|1759|III CNS and misc intracranial and intraspinal neoplasms|53577590|2000
0-19|28.8|31.4|30.1|2152|III CNS and misc intracranial and intraspinal neoplasms|71576680|2000
0-14|2.3|3.2|2.7|146|III(a) Ependymomas and choroid plexus tumor|53577590|2000
0-19|2.1|2.8|2.4|171|III(a) Ependymomas and choroid plexus tumor|71576680|2000
0-14|15.7|17.9|16.8|900|III(b) Astrocytomas|53577590|2000
0-19|14.7|16.5|15.6|1114|III(b) Astrocytomas|71576680|2000
0-14|6.9|8.4|7.6|407|III(c) Intracranial and intraspinal embryonal tumors|53577590|2000
0-19|6.0|7.2|6.6|469|III(c) Intracranial and intraspinal embryonal tumors|71576680|2000
0-14|4.0|5.2|4.6|246|III(d) Other gliomas|53577590|2000
0-19|4.0|5.0|4.5|319|III(d) Other gliomas|71576680|2000
0-14|0.3|0.7|0.4|24|III(e) Other specified intracranial & intraspinal neoplasms|53577590|2000
0-19|0.3|0.6|0.5|33|III(e) Other specified intracranial & intraspinal neoplasms|71576680|2000
0-14|0.5|0.9|0.7|36|III(f) Unspecified intracranial and intraspinal neoplasms|53577590|2000
0-19|0.5|0.9|0.6|46|III(f) Unspecified intracranial and intraspinal neoplasms|71576680|2000
0-14|9.3|11.0|10.1|539|IV Neuroblastoma and other peripheral nervous cell tumors|53577590|2000
0-19|7.1|8.4|7.7|548|IV Neuroblastoma and other peripheral nervous cell tumors|71576680|2000
0-14|9.2|10.9|10.0|532|IV(a) Neuroblastoma and ganglioneuroblastoma|53577590|2000
0-19|7.0|8.3|7.6|539|IV(a) Neuroblastoma and ganglioneuroblastoma|71576680|2000
0-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|53577590|2000
0-19|~|~|~|~|IV(b) Other peripheral nervous cell tumors|71576680|2000
0-14|9.5|11.2|10.3|553|IX Soft tissue and other extraosseous sarcomas|53577590|2000
0-19|11.1|12.7|11.9|851|IX Soft tissue and other extraosseous sarcomas|71576680|2000
0-14|4.7|5.9|5.3|281|IX(a) Rhabdomyosarcomas|53577590|2000
0-19|4.4|5.5|4.9|352|IX(a) Rhabdomyosarcomas|71576680|2000
0-14|0.7|1.2|0.9|49|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|53577590|2000
0-19|0.9|1.5|1.2|84|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|71576680|2000
0-14|~|~|~|~|IX(c) Kaposi sarcoma|53577590|2000
0-19|~|~|~|~|IX(c) Kaposi sarcoma|71576680|2000
0-14|2.7|3.6|3.1|167|IX(d) Other specified soft tissue sarcomas|53577590|2000
0-19|3.9|4.9|4.4|315|IX(d) Other specified soft tissue sarcomas|71576680|2000
0-14|0.8|1.3|1.0|55|IX(e) Unspecified soft tissue sarcomas|53577590|2000
0-19|1.1|1.6|1.4|97|IX(e) Unspecified soft tissue sarcomas|71576680|2000
0-14|~|~|~|~|Not classified by ICCC|53577590|2000
0-19|0.1|0.4|0.2|17|Not classified by ICCC|71576680|2000
0-14|3.9|5.0|4.4|235|V Retinoblastoma|53577590|2000
0-19|2.9|3.8|3.3|236|V Retinoblastoma|71576680|2000
0-14|8.0|9.6|8.8|467|VI Renal tumors|53577590|2000
0-19|6.3|7.5|6.9|487|VI Renal tumors|71576680|2000
0-14|7.6|9.2|8.4|446|VI(a) Nephroblastoma and other nonepithelial renal tumors|53577590|2000
0-19|5.8|7.0|6.3|450|VI(a) Nephroblastoma and other nonepithelial renal tumors|71576680|2000
0-14|0.2|0.6|0.4|20|VI(b) Renal carcinomas|53577590|2000
0-19|0.3|0.7|0.5|35|VI(b) Renal carcinomas|71576680|2000
0-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|53577590|2000
0-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|71576680|2000
0-14|1.9|2.7|2.3|120|VII Hepatic tumors|53577590|2000
0-19|1.6|2.2|1.9|134|VII Hepatic tumors|71576680|2000
0-14|1.7|2.4|2.0|107|VII(a) Hepatoblastoma|53577590|2000
0-19|1.2|1.8|1.5|107|VII(a) Hepatoblastoma|71576680|2000
0-14|~|~|~|~|VII(b) Hepatic carcinomas|53577590|2000
0-19|0.2|0.5|0.4|27|VII(b) Hepatic carcinomas|71576680|2000
0-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|53577590|2000
0-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|71576680|2000
0-14|6.0|7.4|6.7|360|VIII Malignant bone tumors|53577590|2000
0-19|7.9|9.2|8.5|613|VIII Malignant bone tumors|71576680|2000
0-14|3.2|4.3|3.7|201|VIII(a) Osteosarcomas|53577590|2000
0-19|4.3|5.4|4.8|347|VIII(a) Osteosarcomas|71576680|2000
0-14|~|~|~|~|VIII(b) Chondrosarcomas|53577590|2000
0-19|~|~|~|~|VIII(b) Chondrosarcomas|71576680|2000
0-14|2.2|3.1|2.6|142|VIII(c) Ewing tumor and related sarcomas of bone|53577590|2000
0-19|2.7|3.5|3.1|223|VIII(c) Ewing tumor and related sarcomas of bone|71576680|2000
0-14|~|~|~|~|VIII(d) Other specified malignant bone tumors|53577590|2000
0-19|0.1|0.4|0.2|17|VIII(d) Other specified malignant bone tumors|71576680|2000
0-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|53577590|2000
0-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|71576680|2000
0-14|4.2|5.4|4.8|258|X Germ cell, trophoblastic tumors & neoplasms of gonads|53577590|2000
0-19|9.9|11.4|10.6|761|X Germ cell, trophoblastic tumors & neoplasms of gonads|71576680|2000
0-14|1.2|1.9|1.5|80|X(a) Intracranial & intraspinal germ cell tumors|53577590|2000
0-19|1.4|2.0|1.7|122|X(a) Intracranial & intraspinal germ cell tumors|71576680|2000
0-14|0.8|1.4|1.1|59|X(b) Malignant extracranial & extragonadal germ cell tumors|53577590|2000
0-19|1.1|1.7|1.4|100|X(b) Malignant extracranial & extragonadal germ cell tumors|71576680|2000
0-14|1.7|2.4|2.0|109|X(c) Malignant gonadal germ cell tumors|53577590|2000
0-19|6.2|7.4|6.8|488|X(c) Malignant gonadal germ cell tumors|71576680|2000
0-14|~|~|~|~|X(d) Gonadal carcinomas|53577590|2000
0-19|0.3|0.7|0.5|35|X(d) Gonadal carcinomas|71576680|2000
0-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|53577590|2000
0-19|0.1|0.4|0.2|16|X(e) Other and unspecified malignant gonadal tumors|71576680|2000
0-14|5.1|6.3|5.7|305|XI Other malignant epithelial neoplasms and malignant melanomas|53577590|2000
0-19|14.7|16.5|15.6|1116|XI Other malignant epithelial neoplasms and malignant melanomas|71576680|2000
0-14|0.2|0.5|0.3|16|XI(a) Adrenocortical carcinomas|53577590|2000
0-19|0.2|0.5|0.3|22|XI(a) Adrenocortical carcinomas|71576680|2000
0-14|1.5|2.3|1.9|100|XI(b) Thyroid carcinomas|53577590|2000
0-19|5.2|6.3|5.7|408|XI(b) Thyroid carcinomas|71576680|2000
0-14|0.2|0.5|0.3|18|XI(c) Nasopharyngeal carcinomas|53577590|2000
0-19|0.4|0.7|0.5|36|XI(c) Nasopharyngeal carcinomas|71576680|2000
0-14|1.3|2.1|1.7|90|XI(d) Malignant melanomas|53577590|2000
0-19|4.6|5.7|5.1|367|XI(d) Malignant melanomas|71576680|2000
0-14|~|~|~|~|XI(e) Skin carcinomas|53577590|2000
0-19|~|~|~|~|XI(e) Skin carcinomas|71576680|2000
0-14|1.1|1.8|1.5|78|XI(f) Other and unspecified carcinomas|53577590|2000
0-19|3.4|4.3|3.9|277|XI(f) Other and unspecified carcinomas|71576680|2000
0-14|0.6|1.0|0.8|41|XII Other and unspecified malignant neoplasms|53577590|2000
0-19|0.7|1.1|0.9|61|XII Other and unspecified malignant neoplasms|71576680|2000
0-14|~|~|~|~|XII(a) Other specified malignant tumors|53577590|2000
0-19|~|~|~|~|XII(a) Other specified malignant tumors|71576680|2000
0-14|0.3|0.8|0.5|28|XII(b) Other unspecified malignant tumors|53577590|2000
0-19|0.5|0.9|0.6|46|XII(b) Other unspecified malignant tumors|71576680|2000
0-14|153.3|159.9|156.6|8745|All ICCC Groups Combined|55895109|2001
0-19|167.7|173.7|170.7|12758|All ICCC Groups Combined|74755914|2001
0-14|49.0|52.7|50.8|2825|I Leukemias, myeloproliferative & myelodysplastic diseases|55895109|2001
0-19|44.3|47.4|45.8|3407|I Leukemias, myeloproliferative & myelodysplastic diseases|74755914|2001
0-14|37.3|40.6|38.9|2159|I(a) Lymphoid leukemias|55895109|2001
0-19|31.8|34.4|33.1|2455|I(a) Lymphoid leukemias|74755914|2001
0-14|6.7|8.1|7.4|412|I(b) Acute myeloid leukemias|55895109|2001
0-19|7.1|8.4|7.7|577|I(b) Acute myeloid leukemias|74755914|2001
0-14|1.3|2.0|1.6|93|I(c) Chronic myeloproliferative diseases|55895109|2001
0-19|1.9|2.6|2.2|166|I(c) Chronic myeloproliferative diseases|74755914|2001
0-14|1.3|2.0|1.7|93|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|55895109|2001
0-19|1.2|1.8|1.5|113|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|74755914|2001
0-14|0.9|1.5|1.2|68|I(e) Unspecified and other specified leukemias|55895109|2001
0-19|1.0|1.6|1.3|96|I(e) Unspecified and other specified leukemias|74755914|2001
0-14|15.0|17.1|16.1|902|II Lymphomas and reticuloendothelial neoplasms|55895109|2001
0-19|23.6|25.8|24.7|1851|II Lymphomas and reticuloendothelial neoplasms|74755914|2001
0-14|5.3|6.5|5.9|331|II(a) Hodgkin lymphomas|55895109|2001
0-19|11.8|13.4|12.6|943|II(a) Hodgkin lymphomas|74755914|2001
0-14|5.8|7.2|6.5|364|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|55895109|2001
0-19|8.0|9.3|8.7|649|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|74755914|2001
0-14|1.9|2.7|2.3|127|II(c) Burkitt lymphoma|55895109|2001
0-19|1.9|2.5|2.2|163|II(c) Burkitt lymphoma|74755914|2001
0-14|0.8|1.3|1.0|58|II(d) Miscellaneous lymphoreticular neoplasms|55895109|2001
0-19|0.6|1.0|0.8|60|II(d) Miscellaneous lymphoreticular neoplasms|74755914|2001
0-14|0.2|0.6|0.4|22|II(e) Unspecified lymphomas|55895109|2001
0-19|0.3|0.7|0.5|36|II(e) Unspecified lymphomas|74755914|2001
0-14|31.2|34.2|32.7|1823|III CNS and misc intracranial and intraspinal neoplasms|55895109|2001
0-19|28.7|31.2|29.9|2232|III CNS and misc intracranial and intraspinal neoplasms|74755914|2001
0-14|2.4|3.3|2.8|155|III(a) Ependymomas and choroid plexus tumor|55895109|2001
0-19|2.1|2.8|2.5|184|III(a) Ependymomas and choroid plexus tumor|74755914|2001
0-14|15.1|17.2|16.1|899|III(b) Astrocytomas|55895109|2001
0-19|14.0|15.7|14.8|1105|III(b) Astrocytomas|74755914|2001
0-14|6.6|8.1|7.3|408|III(c) Intracranial and intraspinal embryonal tumors|55895109|2001
0-19|6.1|7.2|6.6|494|III(c) Intracranial and intraspinal embryonal tumors|74755914|2001
0-14|4.8|6.1|5.4|304|III(d) Other gliomas|55895109|2001
0-19|4.6|5.6|5.0|377|III(d) Other gliomas|74755914|2001
0-14|0.5|0.9|0.7|37|III(e) Other specified intracranial & intraspinal neoplasms|55895109|2001
0-19|0.4|0.8|0.6|44|III(e) Other specified intracranial & intraspinal neoplasms|74755914|2001
0-14|0.2|0.6|0.4|20|III(f) Unspecified intracranial and intraspinal neoplasms|55895109|2001
0-19|0.2|0.5|0.4|28|III(f) Unspecified intracranial and intraspinal neoplasms|74755914|2001
0-14|10.9|12.7|11.8|658|IV Neuroblastoma and other peripheral nervous cell tumors|55895109|2001
0-19|8.3|9.7|9.0|671|IV Neuroblastoma and other peripheral nervous cell tumors|74755914|2001
0-14|10.8|12.6|11.6|651|IV(a) Neuroblastoma and ganglioneuroblastoma|55895109|2001
0-19|8.2|9.5|8.8|659|IV(a) Neuroblastoma and ganglioneuroblastoma|74755914|2001
0-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|55895109|2001
0-19|~|~|~|~|IV(b) Other peripheral nervous cell tumors|74755914|2001
0-14|9.6|11.3|10.4|582|IX Soft tissue and other extraosseous sarcomas|55895109|2001
0-19|11.0|12.6|11.8|881|IX Soft tissue and other extraosseous sarcomas|74755914|2001
0-14|4.5|5.7|5.1|283|IX(a) Rhabdomyosarcomas|55895109|2001
0-19|4.4|5.5|4.9|366|IX(a) Rhabdomyosarcomas|74755914|2001
0-14|1.0|1.6|1.3|72|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|55895109|2001
0-19|1.2|1.8|1.5|111|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|74755914|2001
0-14|~|~|~|~|IX(c) Kaposi sarcoma|55895109|2001
0-19|~|~|~|~|IX(c) Kaposi sarcoma|74755914|2001
0-14|2.6|3.5|3.0|170|IX(d) Other specified soft tissue sarcomas|55895109|2001
0-19|3.6|4.5|4.0|303|IX(d) Other specified soft tissue sarcomas|74755914|2001
0-14|0.8|1.3|1.0|57|IX(e) Unspecified soft tissue sarcomas|55895109|2001
0-19|1.1|1.6|1.3|98|IX(e) Unspecified soft tissue sarcomas|74755914|2001
0-14|~|~|~|~|Not classified by ICCC|55895109|2001
0-19|0.2|0.4|0.3|20|Not classified by ICCC|74755914|2001
0-14|3.8|5.0|4.4|245|V Retinoblastoma|55895109|2001
0-19|2.9|3.7|3.3|245|V Retinoblastoma|74755914|2001
0-14|7.8|9.3|8.5|473|VI Renal tumors|55895109|2001
0-19|6.1|7.3|6.7|498|VI Renal tumors|74755914|2001
0-14|7.4|8.9|8.2|452|VI(a) Nephroblastoma and other nonepithelial renal tumors|55895109|2001
0-19|5.6|6.7|6.1|455|VI(a) Nephroblastoma and other nonepithelial renal tumors|74755914|2001
0-14|0.2|0.5|0.3|19|VI(b) Renal carcinomas|55895109|2001
0-19|0.4|0.7|0.5|41|VI(b) Renal carcinomas|74755914|2001
0-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|55895109|2001
0-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|74755914|2001
0-14|1.7|2.5|2.1|118|VII Hepatic tumors|55895109|2001
0-19|1.5|2.1|1.8|135|VII Hepatic tumors|74755914|2001
0-14|1.4|2.1|1.7|95|VII(a) Hepatoblastoma|55895109|2001
0-19|1.0|1.6|1.3|96|VII(a) Hepatoblastoma|74755914|2001
