AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
0-14|14.6|15.3|15.0|7992|Incidence|53577590|All Cancer Sites Combined|2000
0-19|16.1|16.7|16.4|11704|Incidence|71576680|All Cancer Sites Combined|2000
0-14|0.1|0.2|0.1|83|Mortality|60279841|Bones and Joints|2000
0-19|0.2|0.3|0.2|181|Mortality|80574796|Bones and Joints|2000
0-14|0.6|0.8|0.7|369|Incidence|53577590|Bones and Joints|2000
0-19|0.8|0.9|0.9|623|Incidence|71576680|Bones and Joints|2000
0-14|0.7|0.8|0.7|440|Mortality|60279841|Brain and Other Nervous System|2000
0-19|0.6|0.7|0.7|545|Mortality|80574796|Brain and Other Nervous System|2000
0-14|3.2|3.6|3.4|1821|Incidence|53577590|Brain and Other Nervous System|2000
0-19|3.0|3.2|3.1|2220|Incidence|71576680|Brain and Other Nervous System|2000
0-14|~|~|~|~|Mortality|60279841|Hodgkin Lymphoma|2000
0-19|0.0|0.1|0.0|29|Mortality|80574796|Hodgkin Lymphoma|2000
0-14|0.5|0.7|0.6|320|Incidence|53577590|Hodgkin Lymphoma|2000
0-19|1.2|1.3|1.2|886|Incidence|71576680|Hodgkin Lymphoma|2000
0-14|0.1|0.1|0.1|46|Mortality|60279841|Kidney and Renal Pelvis|2000
0-19|0.1|0.1|0.1|54|Mortality|80574796|Kidney and Renal Pelvis|2000
0-14|0.8|1.0|0.9|476|Incidence|53577590|Kidney and Renal Pelvis|2000
0-19|0.6|0.8|0.7|500|Incidence|71576680|Kidney and Renal Pelvis|2000
0-14|0.7|0.9|0.8|490|Mortality|60279841|Leukemia|2000
0-19|0.8|1.0|0.9|732|Mortality|80574796|Leukemia|2000
0-14|4.4|4.8|4.6|2458|Incidence|53577590|Leukemia|2000
0-19|4.0|4.3|4.1|2951|Incidence|71576680|Leukemia|2000
0-14|0.1|0.1|0.1|55|Mortality|60279841|Non-Hodgkin Lymphoma|2000
0-19|0.1|0.2|0.1|115|Mortality|80574796|Non-Hodgkin Lymphoma|2000
0-14|0.8|1.0|0.9|495|Incidence|53577590|Non-Hodgkin Lymphoma|2000
0-19|1.1|1.2|1.1|814|Incidence|71576680|Non-Hodgkin Lymphoma|2000
0-14|0.5|0.6|0.6|333|Mortality|60279841|Other|2000
0-19|0.5|0.6|0.6|471|Mortality|80574796|Other|2000
0-14|2.8|3.0|2.9|1545|Incidence|53577590|Other|2000
0-19|4.0|4.3|4.2|2978|Incidence|71576680|Other|2000
0-14|0.1|0.1|0.1|71|Mortality|60279841|Soft Tissue|2000
0-19|0.2|0.2|0.2|144|Mortality|80574796|Soft Tissue|2000
0-14|0.9|1.0|1.0|508|Incidence|53577590|Soft Tissue|2000
0-19|1.0|1.1|1.0|732|Incidence|71576680|Soft Tissue|2000
0-14|0.3|0.4|0.3|208|Mortality|60450257|Acute Lymphocytic|2001
0-19|0.3|0.4|0.4|313|Mortality|80906541|Acute Lymphocytic|2001
0-14|3.7|4.0|3.8|2116|Incidence|55895109|Acute Lymphocytic|2001
0-19|3.1|3.4|3.2|2403|Incidence|74755914|Acute Lymphocytic|2001
0-14|0.2|0.3|0.3|157|Mortality|60450257|Acute Myeloid|2001
0-19|0.2|0.3|0.3|227|Mortality|80906541|Acute Myeloid|2001
0-14|0.6|0.7|0.7|376|Incidence|55895109|Acute Myeloid|2001
0-19|0.7|0.8|0.7|532|Incidence|74755914|Acute Myeloid|2001
0-14|2.4|2.6|2.5|1494|Mortality|60450257|All Cancer Sites Combined|2001
0-19|2.6|2.9|2.8|2226|Mortality|80906541|All Cancer Sites Combined|2001
0-14|15.3|16.0|15.7|8745|Incidence|55895109|All Cancer Sites Combined|2001
0-19|16.8|17.4|17.1|12758|Incidence|74755914|All Cancer Sites Combined|2001
0-14|0.1|0.2|0.1|88|Mortality|60450257|Bones and Joints|2001
0-19|0.2|0.3|0.2|189|Mortality|80906541|Bones and Joints|2001
0-14|0.7|0.8|0.7|408|Incidence|55895109|Bones and Joints|2001
0-19|0.9|1.0|1.0|732|Incidence|74755914|Bones and Joints|2001
0-14|0.6|0.8|0.7|416|Mortality|60450257|Brain and Other Nervous System|2001
0-19|0.6|0.7|0.6|520|Mortality|80906541|Brain and Other Nervous System|2001
0-14|3.2|3.5|3.3|1857|Incidence|55895109|Brain and Other Nervous System|2001
0-19|2.9|3.2|3.0|2262|Incidence|74755914|Brain and Other Nervous System|2001
0-14|~|~|~|~|Mortality|60450257|Hodgkin Lymphoma|2001
0-19|0.0|0.1|0.0|31|Mortality|80906541|Hodgkin Lymphoma|2001
0-14|0.5|0.7|0.6|331|Incidence|55895109|Hodgkin Lymphoma|2001
0-19|1.2|1.3|1.3|943|Incidence|74755914|Hodgkin Lymphoma|2001
0-14|0.1|0.1|0.1|58|Mortality|60450257|Kidney and Renal Pelvis|2001
0-19|0.1|0.1|0.1|66|Mortality|80906541|Kidney and Renal Pelvis|2001
0-14|0.8|1.0|0.9|489|Incidence|55895109|Kidney and Renal Pelvis|2001
0-19|0.6|0.8|0.7|519|Incidence|74755914|Kidney and Renal Pelvis|2001
0-14|0.8|0.9|0.8|503|Mortality|60450257|Leukemia|2001
0-19|0.8|1.0|0.9|728|Mortality|80906541|Leukemia|2001
0-14|4.7|5.1|4.9|2711|Incidence|55895109|Leukemia|2001
0-19|4.2|4.5|4.4|3246|Incidence|74755914|Leukemia|2001
0-14|0.0|0.1|0.1|40|Mortality|60450257|Non-Hodgkin Lymphoma|2001
0-19|0.1|0.2|0.1|101|Mortality|80906541|Non-Hodgkin Lymphoma|2001
0-14|0.8|1.0|0.9|510|Incidence|55895109|Non-Hodgkin Lymphoma|2001
0-19|1.0|1.2|1.1|840|Incidence|74755914|Non-Hodgkin Lymphoma|2001
0-14|0.4|0.6|0.5|297|Mortality|60450257|Other|2001
0-19|0.5|0.6|0.6|444|Mortality|80906541|Other|2001
0-14|3.2|3.5|3.4|1884|Incidence|55895109|Other|2001
0-19|4.5|4.8|4.6|3454|Incidence|74755914|Other|2001
0-14|0.1|0.2|0.1|86|Mortality|60450257|Soft Tissue|2001
0-19|0.2|0.2|0.2|147|Mortality|80906541|Soft Tissue|2001
0-14|0.9|1.1|1.0|555|Incidence|55895109|Soft Tissue|2001
0-19|0.9|1.1|1.0|762|Incidence|74755914|Soft Tissue|2001
0-14|0.3|0.4|0.4|217|Mortality|60563030|Acute Lymphocytic|2002
0-19|0.4|0.4|0.4|323|Mortality|81173400|Acute Lymphocytic|2002
0-14|3.5|3.9|3.7|2041|Incidence|55565102|Acute Lymphocytic|2002
0-19|3.0|3.3|3.2|2347|Incidence|74436080|Acute Lymphocytic|2002
0-14|0.2|0.3|0.2|131|Mortality|60563030|Acute Myeloid|2002
0-19|0.2|0.3|0.3|209|Mortality|81173400|Acute Myeloid|2002
0-14|0.6|0.7|0.7|373|Incidence|55565102|Acute Myeloid|2002
0-19|0.7|0.8|0.7|533|Incidence|74436080|Acute Myeloid|2002
0-14|2.4|2.7|2.6|1548|Mortality|60563030|All Cancer Sites Combined|2002
0-19|2.7|2.9|2.8|2271|Mortality|81173400|All Cancer Sites Combined|2002
0-14|15.3|15.9|15.6|8658|Incidence|55565102|All Cancer Sites Combined|2002
0-19|16.8|17.4|17.1|12757|Incidence|74436080|All Cancer Sites Combined|2002
0-14|0.1|0.2|0.1|85|Mortality|60563030|Bones and Joints|2002
0-19|0.2|0.3|0.2|179|Mortality|81173400|Bones and Joints|2002
0-14|0.7|0.8|0.7|406|Incidence|55565102|Bones and Joints|2002
0-19|0.9|1.0|0.9|710|Incidence|74436080|Bones and Joints|2002
0-14|0.7|0.8|0.8|463|Mortality|60563030|Brain and Other Nervous System|2002
0-19|0.7|0.8|0.7|571|Mortality|81173400|Brain and Other Nervous System|2002
0-14|3.4|3.7|3.5|1953|Incidence|55565102|Brain and Other Nervous System|2002
0-19|3.1|3.3|3.2|2368|Incidence|74436080|Brain and Other Nervous System|2002
0-14|~|~|~|~|Mortality|60563030|Hodgkin Lymphoma|2002
0-19|0.0|0.1|0.0|33|Mortality|81173400|Hodgkin Lymphoma|2002
0-14|0.5|0.6|0.5|306|Incidence|55565102|Hodgkin Lymphoma|2002
0-19|1.1|1.3|1.2|919|Incidence|74436080|Hodgkin Lymphoma|2002
0-14|0.1|0.1|0.1|42|Mortality|60563030|Kidney and Renal Pelvis|2002
0-19|0.0|0.1|0.1|49|Mortality|81173400|Kidney and Renal Pelvis|2002
0-14|0.8|0.9|0.8|465|Incidence|55565102|Kidney and Renal Pelvis|2002
0-19|0.6|0.7|0.7|490|Incidence|74436080|Kidney and Renal Pelvis|2002
0-14|0.7|0.8|0.7|441|Mortality|60563030|Leukemia|2002
0-19|0.8|0.9|0.8|678|Mortality|81173400|Leukemia|2002
0-14|4.6|5.0|4.8|2644|Incidence|55565102|Leukemia|2002
0-19|4.2|4.5|4.3|3185|Incidence|74436080|Leukemia|2002
0-14|0.1|0.2|0.1|74|Mortality|60563030|Non-Hodgkin Lymphoma|2002
0-19|0.1|0.2|0.1|118|Mortality|81173400|Non-Hodgkin Lymphoma|2002
0-14|0.8|1.0|0.9|511|Incidence|55565102|Non-Hodgkin Lymphoma|2002
0-19|1.1|1.2|1.1|847|Incidence|74436080|Non-Hodgkin Lymphoma|2002
0-14|0.5|0.6|0.6|342|Mortality|60563030|Other|2002
0-19|0.6|0.7|0.6|490|Mortality|81173400|Other|2002
0-14|3.1|3.4|3.2|1806|Incidence|55565102|Other|2002
0-19|4.5|4.8|4.6|3472|Incidence|74436080|Other|2002
0-14|0.1|0.2|0.2|95|Mortality|60563030|Soft Tissue|2002
0-19|0.2|0.2|0.2|153|Mortality|81173400|Soft Tissue|2002
0-14|0.9|1.1|1.0|567|Incidence|55565102|Soft Tissue|2002
0-19|1.0|1.1|1.0|766|Incidence|74436080|Soft Tissue|2002
0-14|0.4|0.5|0.4|246|Mortality|60628650|Acute Lymphocytic|2003
0-19|0.4|0.4|0.4|328|Mortality|81425816|Acute Lymphocytic|2003
0-14|3.4|3.7|3.6|2027|Incidence|56909320|Acute Lymphocytic|2003
0-19|2.9|3.2|3.1|2317|Incidence|76413922|Acute Lymphocytic|2003
0-14|0.2|0.3|0.2|142|Mortality|60628650|Acute Myeloid|2003
0-19|0.2|0.3|0.3|207|Mortality|81425816|Acute Myeloid|2003
0-14|0.6|0.7|0.7|375|Incidence|56909320|Acute Myeloid|2003
0-19|0.6|0.7|0.7|529|Incidence|76413922|Acute Myeloid|2003
0-14|2.4|2.7|2.5|1543|Mortality|60628650|All Cancer Sites Combined|2003
0-19|2.6|2.9|2.7|2233|Mortality|81425816|All Cancer Sites Combined|2003
0-14|14.9|15.6|15.2|8697|Incidence|56909320|All Cancer Sites Combined|2003
0-19|16.5|17.0|16.7|12835|Incidence|76413922|All Cancer Sites Combined|2003
0-14|0.1|0.2|0.1|82|Mortality|60628650|Bones and Joints|2003
0-19|0.2|0.3|0.2|186|Mortality|81425816|Bones and Joints|2003
0-14|0.6|0.8|0.7|411|Incidence|56909320|Bones and Joints|2003
0-19|0.8|1.0|0.9|693|Incidence|76413922|Bones and Joints|2003
0-14|0.7|0.8|0.8|458|Mortality|60628650|Brain and Other Nervous System|2003
0-19|0.7|0.8|0.7|577|Mortality|81425816|Brain and Other Nervous System|2003
0-14|3.2|3.5|3.4|1917|Incidence|56909320|Brain and Other Nervous System|2003
0-19|3.0|3.2|3.1|2350|Incidence|76413922|Brain and Other Nervous System|2003
0-14|~|~|~|~|Mortality|60628650|Hodgkin Lymphoma|2003
0-19|0.0|0.0|0.0|21|Mortality|81425816|Hodgkin Lymphoma|2003
0-14|0.5|0.6|0.6|326|Incidence|56909320|Hodgkin Lymphoma|2003
0-19|1.1|1.3|1.2|933|Incidence|76413922|Hodgkin Lymphoma|2003
0-14|0.1|0.1|0.1|54|Mortality|60628650|Kidney and Renal Pelvis|2003
0-19|0.1|0.1|0.1|65|Mortality|81425816|Kidney and Renal Pelvis|2003
0-14|0.8|1.0|0.9|498|Incidence|56909320|Kidney and Renal Pelvis|2003
0-19|0.6|0.8|0.7|527|Incidence|76413922|Kidney and Renal Pelvis|2003
0-14|0.8|0.9|0.8|505|Mortality|60628650|Leukemia|2003
0-19|0.8|0.9|0.8|688|Mortality|81425816|Leukemia|2003
0-14|4.4|4.7|4.6|2588|Incidence|56909320|Leukemia|2003
0-19|4.0|4.3|4.1|3121|Incidence|76413922|Leukemia|2003
0-14|0.1|0.1|0.1|50|Mortality|60628650|Non-Hodgkin Lymphoma|2003
0-19|0.1|0.2|0.1|103|Mortality|81425816|Non-Hodgkin Lymphoma|2003
0-14|0.8|1.0|0.9|508|Incidence|56909320|Non-Hodgkin Lymphoma|2003
0-19|1.0|1.2|1.1|823|Incidence|76413922|Non-Hodgkin Lymphoma|2003
0-14|0.5|0.6|0.5|311|Mortality|60628650|Other|2003
0-19|0.5|0.6|0.6|447|Mortality|81425816|Other|2003
0-14|3.2|3.5|3.3|1908|Incidence|56909320|Other|2003
0-19|4.5|4.8|4.7|3608|Incidence|76413922|Other|2003
0-14|0.1|0.2|0.1|78|Mortality|60628650|Soft Tissue|2003
0-19|0.2|0.2|0.2|146|Mortality|81425816|Soft Tissue|2003
0-14|0.9|1.0|0.9|541|Incidence|56909320|Soft Tissue|2003
0-19|0.9|1.1|1.0|780|Incidence|76413922|Soft Tissue|2003
0-14|0.3|0.4|0.3|202|Mortality|60651802|Acute Lymphocytic|2004
0-19|0.3|0.4|0.4|295|Mortality|81754354|Acute Lymphocytic|2004
0-14|3.7|4.0|3.8|2224|Incidence|58106078|Acute Lymphocytic|2004
0-19|3.2|3.4|3.3|2552|Incidence|78301500|Acute Lymphocytic|2004
0-14|0.2|0.3|0.2|147|Mortality|60651802|Acute Myeloid|2004
0-19|0.2|0.3|0.3|211|Mortality|81754354|Acute Myeloid|2004
0-14|0.6|0.8|0.7|409|Incidence|58106078|Acute Myeloid|2004
0-19|0.7|0.8|0.7|578|Incidence|78301500|Acute Myeloid|2004
0-14|2.3|2.6|2.5|1492|Mortality|60651802|All Cancer Sites Combined|2004
0-19|2.6|2.8|2.7|2223|Mortality|81754354|All Cancer Sites Combined|2004
0-14|15.6|16.2|15.9|9270|Incidence|58106078|All Cancer Sites Combined|2004
0-19|17.0|17.6|17.3|13611|Incidence|78301500|All Cancer Sites Combined|2004
0-14|0.1|0.2|0.1|75|Mortality|60651802|Bones and Joints|2004
0-19|0.2|0.3|0.2|189|Mortality|81754354|Bones and Joints|2004
0-14|0.7|0.8|0.7|429|Incidence|58106078|Bones and Joints|2004
0-19|0.9|1.0|0.9|728|Incidence|78301500|Bones and Joints|2004
0-14|0.7|0.8|0.7|446|Mortality|60651802|Brain and Other Nervous System|2004
0-19|0.6|0.7|0.7|555|Mortality|81754354|Brain and Other Nervous System|2004
0-14|3.4|3.7|3.6|2075|Incidence|58106078|Brain and Other Nervous System|2004
0-19|3.1|3.4|3.3|2544|Incidence|78301500|Brain and Other Nervous System|2004
0-14|~|~|~|~|Mortality|60651802|Hodgkin Lymphoma|2004
0-19|0.0|0.0|0.0|23|Mortality|81754354|Hodgkin Lymphoma|2004
0-14|0.5|0.6|0.5|310|Incidence|58106078|Hodgkin Lymphoma|2004
0-19|1.1|1.3|1.2|941|Incidence|78301500|Hodgkin Lymphoma|2004
0-14|0.1|0.1|0.1|51|Mortality|60651802|Kidney and Renal Pelvis|2004
0-19|0.1|0.1|0.1|59|Mortality|81754354|Kidney and Renal Pelvis|2004
0-14|0.8|0.9|0.8|480|Incidence|58106078|Kidney and Renal Pelvis|2004
0-19|0.6|0.7|0.7|521|Incidence|78301500|Kidney and Renal Pelvis|2004
0-14|0.7|0.8|0.8|455|Mortality|60651802|Leukemia|2004
0-19|0.8|0.9|0.8|665|Mortality|81754354|Leukemia|2004
0-14|4.7|5.1|4.9|2860|Incidence|58106078|Leukemia|2004
0-19|4.3|4.6|4.4|3441|Incidence|78301500|Leukemia|2004
0-14|0.1|0.1|0.1|44|Mortality|60651802|Non-Hodgkin Lymphoma|2004
0-19|0.1|0.1|0.1|100|Mortality|81754354|Non-Hodgkin Lymphoma|2004
0-14|0.9|1.0|0.9|547|Incidence|58106078|Non-Hodgkin Lymphoma|2004
0-19|1.0|1.2|1.1|872|Incidence|78301500|Non-Hodgkin Lymphoma|2004
0-14|0.5|0.6|0.5|317|Mortality|60651802|Other|2004
0-19|0.5|0.6|0.6|468|Mortality|81754354|Other|2004
0-14|3.3|3.6|3.4|2000|Incidence|58106078|Other|2004
0-19|4.6|4.9|4.7|3758|Incidence|78301500|Other|2004
0-14|0.1|0.2|0.2|98|Mortality|60651802|Soft Tissue|2004
0-19|0.2|0.2|0.2|164|Mortality|81754354|Soft Tissue|2004
0-14|0.9|1.1|1.0|569|Incidence|58106078|Soft Tissue|2004
0-19|1.0|1.1|1.0|806|Incidence|78301500|Soft Tissue|2004
0-14|0.3|0.4|0.3|188|Mortality|60519046|Acute Lymphocytic|2005
0-19|0.3|0.4|0.3|267|Mortality|82005260|Acute Lymphocytic|2005
0-14|3.6|3.9|3.7|2163|Incidence|57973098|Acute Lymphocytic|2005
0-19|3.1|3.3|3.2|2479|Incidence|78541923|Acute Lymphocytic|2005
0-14|0.2|0.3|0.2|137|Mortality|60519046|Acute Myeloid|2005
0-19|0.2|0.3|0.3|212|Mortality|82005260|Acute Myeloid|2005
0-14|0.6|0.7|0.6|372|Incidence|57973098|Acute Myeloid|2005
0-19|0.6|0.7|0.7|516|Incidence|78541923|Acute Myeloid|2005
0-14|2.3|2.5|2.4|1452|Mortality|60519046|All Cancer Sites Combined|2005
0-19|2.5|2.8|2.7|2183|Mortality|82005260|All Cancer Sites Combined|2005
0-14|15.2|15.8|15.5|9040|Incidence|57973098|All Cancer Sites Combined|2005
0-19|16.9|17.4|17.1|13570|Incidence|78541923|All Cancer Sites Combined|2005
0-14|0.1|0.2|0.1|88|Mortality|60519046|Bones and Joints|2005
0-19|0.2|0.3|0.3|212|Mortality|82005260|Bones and Joints|2005
0-14|0.6|0.8|0.7|408|Incidence|57973098|Bones and Joints|2005
0-19|0.8|1.0|0.9|719|Incidence|78541923|Bones and Joints|2005
0-14|0.6|0.8|0.7|426|Mortality|60519046|Brain and Other Nervous System|2005
0-19|0.6|0.7|0.7|544|Mortality|82005260|Brain and Other Nervous System|2005
0-14|3.2|3.5|3.3|1930|Incidence|57973098|Brain and Other Nervous System|2005
0-19|2.9|3.2|3.0|2377|Incidence|78541923|Brain and Other Nervous System|2005
0-14|~|~|~|~|Mortality|60519046|Hodgkin Lymphoma|2005
0-19|0.0|0.0|0.0|22|Mortality|82005260|Hodgkin Lymphoma|2005
0-14|0.5|0.6|0.6|342|Incidence|57973098|Hodgkin Lymphoma|2005
0-19|1.2|1.3|1.3|1014|Incidence|78541923|Hodgkin Lymphoma|2005
0-14|0.1|0.1|0.1|54|Mortality|60519046|Kidney and Renal Pelvis|2005
0-19|0.1|0.1|0.1|62|Mortality|82005260|Kidney and Renal Pelvis|2005
0-14|0.8|0.9|0.8|496|Incidence|57973098|Kidney and Renal Pelvis|2005
0-19|0.6|0.8|0.7|544|Incidence|78541923|Kidney and Renal Pelvis|2005
0-14|0.6|0.8|0.7|417|Mortality|60519046|Leukemia|2005
0-19|0.7|0.8|0.8|640|Mortality|82005260|Leukemia|2005
0-14|4.6|4.9|4.8|2765|Incidence|57973098|Leukemia|2005
0-19|4.1|4.4|4.2|3330|Incidence|78541923|Leukemia|2005
0-14|0.1|0.1|0.1|55|Mortality|60519046|Non-Hodgkin Lymphoma|2005
0-19|0.1|0.1|0.1|102|Mortality|82005260|Non-Hodgkin Lymphoma|2005
0-14|0.9|1.0|0.9|542|Incidence|57973098|Non-Hodgkin Lymphoma|2005
0-19|1.1|1.3|1.2|941|Incidence|78541923|Non-Hodgkin Lymphoma|2005
0-14|0.5|0.6|0.5|318|Mortality|60519046|Other|2005
0-19|0.5|0.6|0.5|438|Mortality|82005260|Other|2005
0-14|3.2|3.5|3.4|1987|Incidence|57973098|Other|2005
0-19|4.6|4.9|4.8|3830|Incidence|78541923|Other|2005
0-14|0.1|0.2|0.1|83|Mortality|60519046|Soft Tissue|2005
0-19|0.2|0.2|0.2|163|Mortality|82005260|Soft Tissue|2005
0-14|0.9|1.1|1.0|570|Incidence|57973098|Soft Tissue|2005
0-19|1.0|1.1|1.0|815|Incidence|78541923|Soft Tissue|2005
0-14|0.2|0.3|0.3|174|Mortality|60516709|Acute Lymphocytic|2006
0-19|0.3|0.4|0.3|266|Mortality|82324418|Acute Lymphocytic|2006
0-14|3.7|4.0|3.9|2242|Incidence|57966135|Acute Lymphocytic|2006
0-19|3.2|3.4|3.3|2582|Incidence|78847112|Acute Lymphocytic|2006
0-14|0.2|0.2|0.2|124|Mortality|60516709|Acute Myeloid|2006
0-19|0.2|0.3|0.2|195|Mortality|82324418|Acute Myeloid|2006
0-14|0.6|0.8|0.7|400|Incidence|57966135|Acute Myeloid|2006
0-19|0.7|0.8|0.7|567|Incidence|78847112|Acute Myeloid|2006
0-14|2.1|2.4|2.2|1360|Mortality|60516709|All Cancer Sites Combined|2006
0-19|2.4|2.6|2.5|2035|Mortality|82324418|All Cancer Sites Combined|2006
0-14|15.4|16.1|15.8|9188|Incidence|57966135|All Cancer Sites Combined|2006
0-19|16.8|17.4|17.1|13618|Incidence|78847112|All Cancer Sites Combined|2006
0-14|0.1|0.1|0.1|59|Mortality|60516709|Bones and Joints|2006
0-19|0.2|0.2|0.2|174|Mortality|82324418|Bones and Joints|2006
0-14|0.7|0.8|0.7|429|Incidence|57966135|Bones and Joints|2006
0-19|0.9|1.0|1.0|765|Incidence|78847112|Bones and Joints|2006
0-14|0.6|0.8|0.7|422|Mortality|60516709|Brain and Other Nervous System|2006
0-19|0.6|0.7|0.6|524|Mortality|82324418|Brain and Other Nervous System|2006
0-14|3.3|3.6|3.5|2009|Incidence|57966135|Brain and Other Nervous System|2006
0-19|3.0|3.3|3.2|2490|Incidence|78847112|Brain and Other Nervous System|2006
0-14|~|~|~|~|Mortality|60516709|Hodgkin Lymphoma|2006
0-19|0.0|0.0|0.0|23|Mortality|82324418|Hodgkin Lymphoma|2006
0-14|0.5|0.7|0.6|353|Incidence|57966135|Hodgkin Lymphoma|2006
0-19|1.2|1.3|1.2|1004|Incidence|78847112|Hodgkin Lymphoma|2006
0-14|0.1|0.1|0.1|43|Mortality|60516709|Kidney and Renal Pelvis|2006
0-19|0.1|0.1|0.1|54|Mortality|82324418|Kidney and Renal Pelvis|2006
0-14|0.8|0.9|0.9|502|Incidence|57966135|Kidney and Renal Pelvis|2006
0-19|0.6|0.8|0.7|549|Incidence|78847112|Kidney and Renal Pelvis|2006
0-14|0.6|0.7|0.7|411|Mortality|60516709|Leukemia|2006
0-19|0.7|0.8|0.7|618|Mortality|82324418|Leukemia|2006
0-14|4.7|5.1|4.9|2867|Incidence|57966135|Leukemia|2006
0-19|4.3|4.6|4.4|3485|Incidence|78847112|Leukemia|2006
0-14|0.1|0.1|0.1|44|Mortality|60516709|Non-Hodgkin Lymphoma|2006
0-19|0.1|0.1|0.1|89|Mortality|82324418|Non-Hodgkin Lymphoma|2006
